pi_name,institution,total_projects,total_funding_lakhs,average_grant_lakhs
Mrs. Raja Vidya,R V College of Engineering,1,29.1,29.1
N. Rao,International Institute of Information Technology Bangalore,1,28.7891,28.79
Dr.M S Suma,B.M.S. College of Engineering,1,28.49,28.49
Dr. Aruna Kumara P C (PI) / Dr. Rajeesh S (Co PI),M.S. Ramaiah Institute of Technology,1,27.0635,27.06
Uthayakumar Thangaraj,Dayananda Sagar College of Engineering,1,26.9944,26.99
Chandasree Das,B.M.S. College of Engineering,1,26.928,26.93
A. Chattopadhyay,International Institute of Information Technology Bangalore,1,26.6464,26.65
Mrs. Madhumathi Eti.,R V College of Engineering,1,26.32,26.32
NENAVATH SRINIVAS NAIK,International Institute of Information Technology Bangalore,1,25.629,25.63
Dr. Sharmila K.P & Sachin,CMR Institute of Technology,1,25.2036,25.2
K.R. Kaza,Indian Institute of Science Bangalore,1,25.0205,25.02
Dr.Mahesh A,R V College of Engineering,1,25.0,25.0
Dr.Shanthi P,R V College of Engineering,1,25.0,25.0
Dr.Shantha Rangaswamy,R V College of Engineering,1,24.9614,24.96
R. Naik,B.M.S. College of Engineering,1,24.74,24.74
J. Kavitha,R V College of Engineering,1,24.1,24.1
"Dr. N Sriraam, Tejaswini S",M.S. Ramaiah Institute of Technology,1,23.8876,23.89
N.K. Sundaram,Indian Institute of Science Bangalore,1,23.7725,23.77
Prasad Krishnan,International Institute of Information Technology Bangalore,1,23.7302,23.73
Dr.Ramakanthkumar P,R V College of Engineering,2,23.5,11.75
C. Srivastava,Indian Institute of Science Bangalore,1,23.1,23.1
Dr Suma K V,M.S. Ramaiah Institute of Technology,1,23.0,23.0
Muthuvel Arigovindan,Indian Institute of Science Bangalore,1,22.9984,23.0
Lalitha Vadlamani,International Institute of Information Technology Bangalore,1,22.7584,22.76
"Dr.S G Srivani, Dr.Abhilash Krishna, Dr.Pandry Narendra Rao",R V College of Engineering,1,22.1811,22.18
Ms. P G Nisha,B.M.S. College of Engineering,1,21.49,21.49
Dr.Viswanath Talasila,M.S. Ramaiah Institute of Technology,1,21.4,21.4
Dr. Sunith Babu (PI),M.S. Ramaiah Institute of Technology,1,21.3224,21.32
A. Louis,Indian Institute of Science Bangalore,1,19.8838,19.88
Dr.Madhu B R,R V College of Engineering,1,19.3425,19.34
Pavankumar Tallapragada,Indian Institute of Science Bangalore,1,19.2444,19.24
Dr.Ravishankar S,R V College of Engineering,1,19.0,19.0
Dr Christina Grace Charlet,M.S. Ramaiah Institute of Technology,1,18.38,18.38
"Dr. Sujata D Badiger, Dr. Rajani
Katiyar",R V College of Engineering,1,18.282,18.28
Venumadhav Govindu,Indian Institute of Science Bangalore,1,15.821,15.82
"Anala M R, Srividya MS",R V College of Engineering,1,15.3164,15.32
"Dr. Kavitha Sooda, Dr. Indiramma",B.M.S. College of Engineering,1,15.0,15.0
Prof. Ravishankar Holla,R V College of Engineering,1,15.0,15.0
Dr. Kesavamoorthy R,CMR Institute of Technology,1,15.0,15.0
"Mentor: Dr. Kesavamoorthy R.
Team Leader: Bellamkonda Meghana (1CR21CS048). Team Members: Anusha M (1CR21CS036), Aditi
(1CR21CS008) and Kavya Manne (1CR21IS076)",CMR Institute of Technology,1,15.0,15.0
Dr. K P Lakshmi,B.M.S. College of Engineering,1,15.0,15.0
"Dr. M Uttarakumari
, Dr. Sujatha Hiremath",R V College of Engineering,1,15.0,15.0
Dr. G.Vijaya Kumar,M.S. Ramaiah Institute of Technology,1,15.0,15.0
"Mentor: Dr. Kesavamoorthy R.
Team Leader: Yashica G (1CR23AI143)
Team Members: Prakshi Lakhchaura (1CR23AI083), Safa Mariyah (1CR23AI105), Sannah Sharma (1CR23AI110)",CMR Institute of Technology,1,15.0,15.0
"Mentor: Dr. Kesavamoorthy R.
Team Leader: Anusha M (1CR21CS036)
Team Members: Aditi (1CR21CS008) and Kavya Manne (1CR21IS076)",CMR Institute of Technology,1,15.0,15.0
"Mentor: Dr. Kesavamoorthy R.
Team Leader: Aranya Bandhu (1CR23AD021)",CMR Institute of Technology,1,15.0,15.0
Supritha S (UG Student) Dr. Kesavamoorthy R.,CMR Institute of Technology,1,15.0,15.0
Dr. Niranjanamurthy M,M.S. Ramaiah Institute of Technology,4,14.8278,3.71
Prerna Sharma,Indian Institute of Science Bangalore,1,14.41,14.41
Priyanka Das,International Institute of Information Technology Bangalore,1,14.0466,14.05
"Sowmya Nag K , Dr.Veena Devi S
V(Mentor)",R V College of Engineering,1,14.0,14.0
S. Ravishankar,R V College of Engineering,1,13.89,13.89
Dr.Surendra K R,B.M.S. College of Engineering,1,13.83,13.83
"Dr.Ramakanthkumar P, Dr.Pavithra H, Dr.Minal Moharir,
Dr.Suresha C",R V College of Engineering,1,13.57,13.57
"Dr.Veena Devi S V, Sowmya Nag K",R V College of Engineering,1,12.0,12.0
Dr Vijaya kumar B P,M.S. Ramaiah Institute of Technology,2,11.85,5.92
Dr.Surendra H H,B.M.S. College of Engineering,1,10.5,10.5
Dr.Deepamala N,R V College of Engineering,1,10.0,10.0
"Mahesh A, Ravishankar S,
Shushrutha K S",R V College of Engineering,1,9.863,9.86
Dr. Ashok Kumar,B.M.S. College of Engineering,2,9.6,4.8
Dr.Prema V,B.M.S. College of Engineering,1,9.5,9.5
Dr. H N Suma,B.M.S. College of Engineering,1,8.925,8.93
"Dr Chethana G, Dr.
Praveena T",R V College of Engineering,1,8.5,8.5
Dr S Sethu Selvi,M.S. Ramaiah Institute of Technology,1,7.69,7.69
Dr.Shylashree N,R V College of Engineering,2,7.6543,3.83
Dr.Manas MN,R V College of Engineering,1,7.5,7.5
"Nitya N. Kulkarni,
Dr. B. G. Sudarshan, Dr. Nagaraja G. S.",R V College of Engineering,1,6.3,6.3
Dr Raghuram S,M.S. Ramaiah Institute of Technology,1,6.05,6.05
Dr.Pappa M & Dr.Sharmila K P,CMR Institute of Technology,1,6.0,6.0
"Dr. Viji K, Dr. Diptoshi Rai",CMR Institute of Technology,2,6.0,3.0
VENKATESH RAJENDRAN,Indian Institute of Science Bangalore,1,5.9771,5.98
"Dr. M. Indiramma, Dr. Nagarathna N, Dr. Jyothi S Nayak, Dr. Rajeshwari B S, Dr. Namaratha M, Dr. Manjunath D R, Dr. Gauri Kalnoor",B.M.S. College of Engineering,1,5.0,5.0
Dr. Suma K V,M.S. Ramaiah Institute of Technology,1,5.0,5.0
Dr. Veena N Hegde,B.M.S. College of Engineering,1,4.8,4.8
Dr Prem Kumar and Prof. Kartheek GCR,CMR Institute of Technology,1,4.68,4.68
Dr Vijaya Kumar B P,M.S. Ramaiah Institute of Technology,2,4.65,2.33
"Dr.Mydhili K Nair(PI) & Co-Pis : Dr.Lincy Mathews, Durgam Jagadeesh Sai",M.S. Ramaiah Institute of Technology,1,4.5,4.5
Dr. Raghuram S,M.S. Ramaiah Institute of Technology,1,4.2,4.2
Dr. S.G. Srivani,R V College of Engineering,2,4.04,2.02
Nithya BN,M.S. Ramaiah Institute of Technology,2,3.9161,1.96
Dr. Jayalakshmi D S/ Dr. J Geetha,M.S. Ramaiah Institute of Technology,1,3.89,3.89
Dr. Nagarathna N,B.M.S. College of Engineering,1,3.5,3.5
Dr. Indiramma M,B.M.S. College of Engineering,1,3.5,3.5
Dr. Chitra K & Dr. Nageswara Rao,CMR Institute of Technology,1,3.5,3.5
Dr. R S Geetha,B.M.S. College of Engineering,1,3.5,3.5
Dr.B Sathish Babu,R V College of Engineering,1,3.5,3.5
"Dr.S.Solai Manohar
Dr.Nageswara Rao",CMR Institute of Technology,1,3.0,3.0
Dr.S.Solai Manohar,CMR Institute of Technology,1,3.0,3.0
"Dr. Selva Kumar, Dr. Latha N R, Dr. Pallavi G B, Dr. Shyamala G, Preetha S, Dr. Manjunath D R",B.M.S. College of Engineering,1,3.0,3.0
Dr. Ramya Hariharan,B.M.S. College of Engineering,1,3.0,3.0
Dr Naresh,M.S. Ramaiah Institute of Technology,1,3.0,3.0
"Sowmya B J-PI
Dr. Seema S-CO-PI
Dr.Monica R Mundada-CO-PI",M.S. Ramaiah Institute of Technology,1,3.0,3.0
"Sowmya B J/ Dr Seema S, Dr Monica R Mundada",M.S. Ramaiah Institute of Technology,1,3.0,3.0
Dr. ChandraShekara G,B.M.S. College of Engineering,1,3.0,3.0
"Prof.Venkateswaran,Prof.Sridhar",CMR Institute of Technology,1,3.0,3.0
Dr. J Geetha (PI) / Dr. JayaLakshmi D S (CO-PI),M.S. Ramaiah Institute of Technology,1,3.0,3.0
Dr. Kayarvizhy N,B.M.S. College of Engineering,1,2.97,2.97
P.Velrajkumar,CMR Institute of Technology,1,2.97,2.97
Dr. Manjunatha S O,B.M.S. College of Engineering,1,2.75,2.75
Dr. Anantha Sunil,B.M.S. College of Engineering,1,2.75,2.75
Dr. Annapurna P Patil,M.S. Ramaiah Institute of Technology,1,2.0,2.0
Dr. P Jayarekha,B.M.S. College of Engineering,1,2.0,2.0
Dr. J Geetha (PI) / Hanumantharaju R (CO-PI),M.S. Ramaiah Institute of Technology,1,2.0,2.0
Dr.Rajath Vasudevamurthy,B.M.S. College of Engineering,1,1.882,1.88
Dr.Padamavathi,B.M.S. College of Engineering,1,1.74,1.74
Dr.R.Chinnaiyan,CMR Institute of Technology,1,1.6667,1.67
"Prof.Kavitha ,Prof.Pratham majumthar",CMR Institute of Technology,1,1.5,1.5
"Dr Phani Kumar Pullela, Tanish T Sridhar, Nishal bharadwaj, Entrepreneur grant",CMR Institute of Technology,1,1.5,1.5
"Dr Megha P Arakeri, Dr Vijaya kumar B P, Dr Naresh E",M.S. Ramaiah Institute of Technology,1,1.465,1.46
"Dr. Monica R Mundada, Sowmya B J",M.S. Ramaiah Institute of Technology,1,1.25,1.25
Dr. Sheela,B.M.S. College of Engineering,1,1.2,1.2
"Dr Vijaya kumar B P, Dr Megha P Arakeri",M.S. Ramaiah Institute of Technology,1,1.1506,1.15
"Dr. Shubha Rao V, Dr. Nandhini Vineeth",B.M.S. College of Engineering,1,1.1,1.1
Dr Meenakshi R Patil,CMR Institute of Technology,2,1.1,0.55
Dr. Kesavamoorthy R.,CMR Institute of Technology,1,1.0,1.0
"Dr.Venkateshwaran,Dr.Niran jan L,Dr.Sridhar N",CMR Institute of Technology,1,1.0,1.0
"Dr Sushma T V, Dr Sridhar N",CMR Institute of Technology,1,1.0,1.0
Dr. Lakashminarayan,B.M.S. College of Engineering,1,1.0,1.0
"Dr. Kesavamurthy, Dr Preethi Jacob",CMR Institute of Technology,1,1.0,1.0
Dr Pappa M,CMR Institute of Technology,1,1.0,1.0
Dr Sharmila K P,CMR Institute of Technology,1,1.0,1.0
Pro. Kodandapani,CMR Institute of Technology,1,0.98,0.98
Dr. Nagesh B V,M.S. Ramaiah Institute of Technology,1,0.93,0.93
Dr. Shubha Rao & Dr. Dakshayini M,B.M.S. College of Engineering,1,0.93,0.93
Dr. PushpaMohan,CMR Institute of Technology,1,0.93,0.93
Dr.Shubha V Rao,B.M.S. College of Engineering,1,0.93,0.93
"Dr. S Rajarajeswari, Dr. Annapurna P Patil",M.S. Ramaiah Institute of Technology,1,0.72,0.72
"Dr. Seema S , Vandana Sudhakar Sardar",M.S. Ramaiah Institute of Technology,1,0.72,0.72
Nagashree B /Dr R Mourougane,M.S. Ramaiah Institute of Technology,1,0.7,0.7
Dr.R Mourougane / Shridevi HoleppaChikkur,M.S. Ramaiah Institute of Technology,1,0.7,0.7
Dr. M. Rajesh,M.S. Ramaiah Institute of Technology,1,0.7,0.7
Dr.Swathi.Y,CMR Institute of Technology,1,0.6896,0.69
Nagashree B / Dr. R Mourougane,M.S. Ramaiah Institute of Technology,1,0.49,0.49
Dr.Joshi Manisha S,B.M.S. College of Engineering,1,0.32,0.32
"Dr. Raja M. 
Dr. R. Kesavamoorthy",CMR Institute of Technology,1,0.3,0.3
Dr.Parkavi.A,M.S. Ramaiah Institute of Technology,2,0.28,0.14
Dr. Archana H R,B.M.S. College of Engineering,1,0.2,0.2
Dr.M.S.Suma,B.M.S. College of Engineering,1,0.18,0.18
Dr Y K Guruprasad,M.S. Ramaiah Institute of Technology,2,0.12,0.06
Dr.Suma M N,B.M.S. College of Engineering,1,0.1,0.1
Mr Prashant Sunagar,M.S. Ramaiah Institute of Technology,1,0.07,0.07
Dr Krishna Raj,M.S. Ramaiah Institute of Technology,1,0.07,0.07
Prof.Reshmi P.Eldo,CMR Institute of Technology,1,0.07,0.07
Dr. Ravindra Melavanki,M.S. Ramaiah Institute of Technology,1,0.06,0.06
Mr. Suresha C,R V College of Engineering,1,0.06,0.06
Mrs B Suguna Rao,M.S. Ramaiah Institute of Technology,1,0.06,0.06
Dr. Vandana Jha,R V College of Engineering,1,0.06,0.06
Dr. Viji K,CMR Institute of Technology,1,0.06,0.06
Prof.Swathi.Y,CMR Institute of Technology,1,0.05,0.05
Dr. Arunkumar.D.C,M.S. Ramaiah Institute of Technology,1,0.05,0.05
Dr. Jhansi Rani P.,CMR Institute of Technology,1,0.05,0.05
"Mr.Vinay B K, & Dr.Chaitanya Lekshmi Indira",CMR Institute of Technology,1,0.05,0.05
Dr. P Ramesh,CMR Institute of Technology,1,0.05,0.05
Dr. K.Venkateswaran,CMR Institute of Technology,1,0.05,0.05
Dr. Y.M.Satish,M.S. Ramaiah Institute of Technology,1,0.05,0.05
Dr. R. Kesavamoorthy,CMR Institute of Technology,1,0.05,0.05
Dr. Suganya.S,CMR Institute of Technology,1,0.05,0.05
Dr. P. N. Singh,CMR Institute of Technology,1,0.05,0.05
Dr. S Rajarajeswari,M.S. Ramaiah Institute of Technology,1,0.05,0.05
Mr. D Kodandapani,CMR Institute of Technology,1,0.05,0.05
Prof. Prasad B.S,CMR Institute of Technology,1,0.05,0.05
Dr. Sangeetha J,M.S. Ramaiah Institute of Technology,1,0.04,0.04
Mr.G.Radhakrishnan,CMR Institute of Technology,1,0.035,0.04
Prof. Prabhu R Nott,Indian Institute of Science Bangalore,1,0.0,0.0
