rank,researcher,institution,publications,theses,citations,research_score
81,D Roy Mahapatra,Indian Institute of Science Bangalore,54,0,314,123.7
82,Diptiman Sen,Indian Institute of Science Bangalore,40,0,843,122.15
83,Pradip Dutta,Indian Institute of Science Bangalore,45,0,626,121.3
84,Karuna Kar Nanda,Indian Institute of Science Bangalore,39,0,860,121.0
85,Srinivasan Raghavan,Indian Institute of Science Bangalore,45,0,619,120.95
86,Gopalakrishnan Sai Gautam,Indian Institute of Science Bangalore,40,0,816,120.8
87,K J Vinoy,Indian Institute of Science Bangalore,51,0,369,120.45
88,Suvitha Rajesh,CMR Institute of Technology,49,0,438,119.9
89,Takashi Taniguchi,Indian Institute of Science Bangalore,43,0,632,117.6
90,BalaAnand Muthu,R V College of Engineering,24,0,1392,117.6
91,Sharma,CMR Institute of Technology,47,0,459,116.95
92,Rabindra Biswas,Indian Institute of Science Bangalore,50,0,313,115.65
93,Rajeev Ranjan,Indian Institute of Science Bangalore,46,0,450,114.5
94,Vikram Jayaram,Indian Institute of Science Bangalore,47,0,397,113.85
95,Aloke Kumar,Indian Institute of Science Bangalore,42,0,593,113.65
96,Partha Talukdar,Indian Institute of Science Bangalore,21,0,1412,112.6
97,Jyant Kumar,Indian Institute of Science Bangalore,44,0,474,111.7
98,Radhakant Padhi,Indian Institute of Science Bangalore,48,0,311,111.55
99,Neelesh B Mehta,Indian Institute of Science Bangalore,49,0,262,111.1
100,Apoorva Khare,Indian Institute of Science Bangalore,53,0,98,110.9
101,Mohana,R V College of Engineering,45,1,351,110.55
102,MS,CMR Institute of Technology,50,0,203,110.15
103,S Varadharajaperumal,Indian Institute of Science Bangalore,33,0,881,110.05
104,Chetan Singh Thakur,Indian Institute of Science Bangalore,44,0,423,109.15
105,Soma Biswas,Indian Institute of Science Bangalore,42,0,494,108.7
106,‎Debmalya Sain,Indian Institute of Science Bangalore,50,0,150,107.5
107,S Sampath,Indian Institute of Science Bangalore,41,0,501,107.05
108,Rahul Pandit,Indian Institute of Science Bangalore,43,0,387,105.35
109,Subho Dasgupta,Indian Institute of Science Bangalore,41,0,443,104.15
110,Koushik Viswanathan,Indian Institute of Science Bangalore,45,0,271,103.55
111,B V Venkatarama Reddy,Indian Institute of Science Bangalore,42,0,351,101.55
112,Himanshu Tyagi,Indian Institute of Science Bangalore,46,0,182,101.1
113,H R Mamatha,PES University,45,0,177,98.85
114,Jeevesh Kumar,Indian Institute of Science Bangalore,40,0,367,98.35
115,Sushobhan Avasthi,Indian Institute of Science Bangalore,42,0,287,98.35
116,Jogesh Chandra Dash,Indian Institute of Science Bangalore,40,0,357,97.85
117,SM,CMR Institute of Technology,43,0,223,97.15
118,Akshay Naik,Indian Institute of Science Bangalore,43,0,216,96.8
119,Prateek Sharma,Indian Institute of Science Bangalore,31,0,695,96.75
120,Gurunath Gurrala,Indian Institute of Science Bangalore,45,0,132,96.6
121,Joshua Samuel Raj,CMR Institute of Technology,30,0,713,95.65
122,Prafull Pandey,Indian Institute of Science Bangalore,28,0,792,95.6
123,Vishnu Mahadeva Iyer,Indian Institute of Science Bangalore,43,0,174,94.7
124,P Anbazhagan,Indian Institute of Science Bangalore,36,0,448,94.4
125,Kunal N Chaudhury,Indian Institute of Science Bangalore,39,0,310,93.5
126,Amaresh Chakrabarti,Indian Institute of Science Bangalore,43,0,127,92.35
127,Ravindra Kumar Jha,Indian Institute of Science Bangalore,27,0,752,91.6
128,Mrinmoy De,Indian Institute of Science Bangalore,29,0,671,91.55
129,Pradipta Biswas,Indian Institute of Science Bangalore,39,0,269,91.45
130,Manish Jain,Indian Institute of Science Bangalore,31,0,577,90.85
131,Suhasini Gururaja,Indian Institute of Science Bangalore,31,0,576,90.8
132,KP,CMR Institute of Technology,39,0,241,90.05
133,Rajeshwari Hegde,B.M.S. College of Engineering,45,0,0,90.0
134,RV Ravikrishna,Indian Institute of Science Bangalore,37,0,308,89.4
135,Sarasij Das,Indian Institute of Science Bangalore,38,0,267,89.35
136,J Manikandan,PES University,39,0,213,88.65
137,Niranjan,CMR Institute of Technology,36,0,329,88.45
138,Abha Misra,Indian Institute of Science Bangalore,35,0,368,88.4
139,R Muralidharan,Indian Institute of Science Bangalore,32,0,485,88.25
140,B M Shankar,PES University,33,0,444,88.2
141,T V Prabhakar,Indian Institute of Science Bangalore,39,0,190,87.5
142,Tanmoy Das,Indian Institute of Science Bangalore,25,0,744,87.2
143,AS,CMR Institute of Technology,39,0,182,87.1
144,Sakshi Mehta,Indian Institute of Science Bangalore,33,0,420,87.0
145,Jain,CMR Institute of Technology,40,0,131,86.55
146,M Narasimha Murty,Indian Institute of Science Bangalore,33,0,407,86.35
147,Routray,CMR Institute of Technology,33,0,406,86.3
148,Chinnaiyan,CMR Institute of Technology,32,0,436,85.8
149,I S Shivakumara,PES University,32,0,433,85.65
150,Gupta,CMR Institute of Technology,30,0,513,85.65
151,Kausik Majumdar,Indian Institute of Science Bangalore,31,0,470,85.5
152,Chandramani Singh,Indian Institute of Science Bangalore,39,0,146,85.3
153,S B Krupanidhi,Indian Institute of Science Bangalore,28,0,583,85.15
154,Shayan Srinivasa Garani,Indian Institute of Science Bangalore,38,0,181,85.05
155,Kallol Paul,Indian Institute of Science Bangalore,38,0,168,84.4
156,Rajarshi Roy Chaudhuri,Indian Institute of Science Bangalore,36,0,246,84.3
157,B Chethan,Indian Institute of Science Bangalore,31,0,445,84.25
158,Gobinda Das Adhikary,Indian Institute of Science Bangalore,32,0,404,84.2
159,Gyan Shankar,Indian Institute of Science Bangalore,31,0,438,83.9
160,Fatimah,CMR Institute of Technology,23,0,740,83.0
161,Asha Bhardwaj,Indian Institute of Science Bangalore,34,0,289,82.45
162,V Kumaran,Indian Institute of Science Bangalore,35,0,247,82.35
163,Nirupam Roy,Indian Institute of Science Bangalore,34,0,286,82.3
164,Ranjan Ganguli,Indian Institute of Science Bangalore,35,0,242,82.1
165,Deependra Kumar Singh,Indian Institute of Science Bangalore,25,0,641,82.05
166,Chitra,CMR Institute of Technology,38,0,119,81.95
167,Santosh Hemchandra,Indian Institute of Science Bangalore,35,0,239,81.95
168,D D Sarma,Indian Institute of Science Bangalore,31,0,397,81.85
169,Giridhar Madras,Indian Institute of Science Bangalore,20,0,833,81.65
170,Prem Singh,International Institute of Information Technology Bangalore,35,0,232,81.6
171,Hegde,CMR Institute of Technology,29,0,465,81.25
172,Pintu Bhunia,Indian Institute of Science Bangalore,35,0,222,81.1
173,Sanjeev Kumar,Indian Institute of Science Bangalore,35,0,213,80.65
174,Vipin Joshi,Indian Institute of Science Bangalore,33,0,293,80.65
175,Javali,CMR Institute of Technology,30,0,409,80.45
176,R Venkatesh,Indian Institute of Science Bangalore,31,0,369,80.45
177,Jogendra Nath Kundu,Indian Institute of Science Bangalore,26,0,568,80.4
178,Sujit Kamilya,Indian Institute of Science Bangalore,29,0,445,80.25
179,Pavan Nukala,Indian Institute of Science Bangalore,27,0,524,80.2
180,Satish Patil,Indian Institute of Science Bangalore,26,0,564,80.2
181,G K Ananthasuresh,Indian Institute of Science Bangalore,33,0,279,79.95
182,T G Sitharam,Indian Institute of Science Bangalore,35,0,190,79.5
183,Ashok M Raichur,Indian Institute of Science Bangalore,23,0,670,79.5
184,Animesh Giri,PES University,38,0,69,79.45
185,Bhaskarjyoti Das,PES University,38,0,60,79.0
186,Santosh,CMR Institute of Technology,36,0,139,78.95
187,Ankit Kumar,Indian Institute of Science Bangalore,23,1,598,78.9
188,Vishal Singh,Indian Institute of Science Bangalore,32,0,295,78.75
189,Arindam Ghosh,Indian Institute of Science Bangalore,29,0,409,78.45
190,Prasanta Ghosh,Indian Institute of Science Bangalore,35,0,162,78.1
191,Ilango,CMR Institute of Technology,33,0,242,78.1
192,Murugendrappa et al,B.M.S. College of Engineering,39,0,0,78.0
193,G Shobha,R V College of Engineering,35,0,153,77.65
194,MN,CMR Institute of Technology,37,0,70,77.5
195,Patil,CMR Institute of Technology,36,0,110,77.5
196,Santanu Mahapatra,Indian Institute of Science Bangalore,28,0,416,76.8
197,Pakkirisamy Thilagar,Indian Institute of Science Bangalore,29,0,373,76.65
198,Sridhar,CMR Institute of Technology,34,0,173,76.65
199,Jaya Prakash,Indian Institute of Science Bangalore,29,0,364,76.2
200,Deepak Kumar,Indian Institute of Science Bangalore,28,0,402,76.1
201,Aninda J Bhattacharyya,Indian Institute of Science Bangalore,28,0,401,76.05
202,N Balakrishnan,Indian Institute of Science Bangalore,33,0,196,75.8
203,Sriraṁ Ramaswamy,Indian Institute of Science Bangalore,27,0,431,75.55
204,Jha,CMR Institute of Technology,32,0,229,75.45
205,Priyanka Priyadarshini,Indian Institute of Science Bangalore,20,0,698,74.9
206,Sudipto Datta,Indian Institute of Science Bangalore,30,0,296,74.8
207,Sachin Kumar,Indian Institute of Science Bangalore,18,0,771,74.55
208,V Sarasvathi,PES University,33,0,166,74.3
209,Manjunath Patel Gowdru Chandrashekarappa,PES University,21,0,644,74.2
210,BS Murty,Indian Institute of Science Bangalore,19,0,723,74.15
211,AR,CMR Institute of Technology,28,0,363,74.15
212,KDV Prasad,International Institute of Information Technology Bangalore,26,0,432,73.6
213,Dinesh Babu Jayagopi,International Institute of Information Technology Bangalore,32,0,190,73.5
214,G D Surabhi,Indian Institute of Science Bangalore,8,0,1148,73.4
215,S S Shylaja,PES University,35,0,66,73.3
216,Basanta Roul,Indian Institute of Science Bangalore,21,0,624,73.2
217,MK,CMR Institute of Technology,33,0,136,72.8
218,Debasish Roy,Indian Institute of Science Bangalore,32,0,167,72.35
219,AM Umarji,Indian Institute of Science Bangalore,24,0,473,71.65
220,Ashish Choudhury,Indian Institute of Science Bangalore,31,0,190,71.5
221,Rudra Pratap,Indian Institute of Science Bangalore,31,0,186,71.3
222,Reddy,CMR Institute of Technology,31,0,186,71.3
223,Harish Kumar Choudhary,Indian Institute of Science Bangalore,17,0,745,71.25
224,Abhay Gupta,Indian Institute of Science Bangalore,26,0,376,70.8
225,KU Yazar,Indian Institute of Science Bangalore,19,0,652,70.6
226,Ananth Govind Rajan,Indian Institute of Science Bangalore,25,0,408,70.4
227,Ankur Chauhan,Indian Institute of Science Bangalore,25,0,405,70.25
228,Aloke Paul,Indian Institute of Science Bangalore,28,0,284,70.2
229,Susmita Dash,Indian Institute of Science Bangalore,29,0,242,70.1
230,Jaya Sreevalsan‐Nair,International Institute of Information Technology Bangalore,32,0,116,69.8
231,N Ravishankar,Indian Institute of Science Bangalore,30,0,196,69.8
232,Neelamegan Esakkiraja,Indian Institute of Science Bangalore,27,0,305,69.25
233,Navin Kashyap,Indian Institute of Science Bangalore,33,0,65,69.25
234,Venkateswaran,CMR Institute of Technology,31,0,145,69.25
235,Digbijoy N Nath,Indian Institute of Science Bangalore,22,0,504,69.2
236,Babu Rao Ponangi,PES University,31,0,127,68.35
237,Chethan Krishnan,Indian Institute of Science Bangalore,16,0,725,68.25
238,Shrisha Rao,International Institute of Information Technology Bangalore,29,0,199,67.95
239,Panda,CMR Institute of Technology,31,0,119,67.95
240,Rajiv Soundararajan,Indian Institute of Science Bangalore,26,0,318,67.9
241,Shubham Sharma,Indian Institute of Science Bangalore,22,0,475,67.75
242,Aditya Sadhanala,Indian Institute of Science Bangalore,12,0,874,67.7
243,Anand Kumar,Indian Institute of Science Bangalore,28,0,230,67.5
244,Arvind Ayyer,Indian Institute of Science Bangalore,31,0,110,67.5
245,Tarun Kumar,Indian Institute of Science Bangalore,33,0,28,67.4
246,Avinash Sharma,International Institute of Information Technology Bangalore,18,0,621,67.05
247,PK,CMR Institute of Technology,27,0,259,66.95
248,Viji,CMR Institute of Technology,31,0,95,66.75
249,A K Nandakumaran,Indian Institute of Science Bangalore,31,0,95,66.75
250,B S Premananda,R V College of Engineering,30,0,134,66.7
251,Sumit Kumar,Indian Institute of Science Bangalore,20,0,529,66.45
252,Vijay Natarajan,Indian Institute of Science Bangalore,29,0,165,66.25
253,Srisha M V Rao,Indian Institute of Science Bangalore,25,0,321,66.05
254,Uttam Kumar,International Institute of Information Technology Bangalore,30,0,121,66.05
255,Venkatesh Boddapati,B.M.S. College of Engineering,33,0,0,66.0
256,Karthik Kumara et al,B.M.S. College of Engineering,33,0,0,66.0
257,Venkatesh,CMR Institute of Technology,28,0,188,65.4
258,AV Anupama,Indian Institute of Science Bangalore,15,0,707,65.35
259,D Sahoo,Indian Institute of Science Bangalore,18,0,586,65.3
260,Arti Arya,PES University,29,0,144,65.2
261,Utsab Kundu,Indian Institute of Science Bangalore,31,0,64,65.2
262,Bidisha Nath,Indian Institute of Science Bangalore,28,0,182,65.1
263,Nitish Bibhanshu,Indian Institute of Science Bangalore,22,0,419,64.95
264,Souradeep Gupta,Indian Institute of Science Bangalore,20,0,498,64.9
265,Ajay Kumar,Indian Institute of Science Bangalore,19,0,538,64.9
266,Chandra S Perugu,Indian Institute of Science Bangalore,24,0,335,64.75
267,Sanyukta Ghosh,Indian Institute of Science Bangalore,21,0,448,64.4
268,V Prasad,Indian Institute of Science Bangalore,24,0,316,63.8
269,Neha Sakhuja,Indian Institute of Science Bangalore,18,0,556,63.8
270,Subhashree Das,Indian Institute of Science Bangalore,19,0,516,63.8
271,Tirthankar Bhattacharyya,Indian Institute of Science Bangalore,30,0,70,63.5
272,Sharmila,CMR Institute of Technology,27,0,190,63.5
273,Ramesh Chandra Mallik,Indian Institute of Science Bangalore,23,0,345,63.25
274,Srinath Srinivasa,International Institute of Information Technology Bangalore,27,0,182,63.1
275,Lal Krishna AS,Indian Institute of Science Bangalore,29,0,90,62.5
276,Viraj Kumar,Indian Institute of Science Bangalore,22,0,363,62.15
277,Simranjeet Singh,Indian Institute of Science Bangalore,21,0,402,62.1
278,Sharanappa Chapi,B.M.S. College of Engineering,31,0,0,62.0
279,Seema Patil,B.M.S. College of Engineering,31,0,0,62.0
280,PS,CMR Institute of Technology,28,0,118,61.9
281,T Srinivas,Indian Institute of Science Bangalore,28,0,118,61.9
282,RJ Vikram,Indian Institute of Science Bangalore,20,0,436,61.8
283,Kavitha,CMR Institute of Technology,28,0,113,61.65
284,C B Sivaparthipan,R V College of Engineering,10,0,831,61.55
285,Saurabh Kumar,Indian Institute of Science Bangalore,18,0,509,61.45
286,Bhushan J Toley,Indian Institute of Science Bangalore,25,0,228,61.4
287,Chinmayee Chowde Gowda,Indian Institute of Science Bangalore,17,0,538,60.9
288,RP,CMR Institute of Technology,26,0,173,60.65
289,Pratik Nandy,Indian Institute of Science Bangalore,13,0,689,60.45
290,BS,CMR Institute of Technology,24,0,249,60.45
291,Syed Shahjahan Ahmad,Indian Institute of Science Bangalore,26,0,168,60.4
292,Ramachandran,CMR Institute of Technology,23,0,286,60.3
293,H C Prashanth,International Institute of Information Technology Bangalore,26,0,164,60.2
294,G R Jayanth,Indian Institute of Science Bangalore,28,0,80,60.0
295,Sachin R Rondiya,Indian Institute of Science Bangalore,20,0,398,59.9
296,Mukti Chaturvedi,Dayananda Sagar College of Engineering,24,0,234,59.7
297,L Girisha,PES University,25,0,187,59.35
298,Mishra,CMR Institute of Technology,24,0,220,59.0
299,Ambedkar Dukkipati,Indian Institute of Science Bangalore,26,0,140,59.0
300,Hardik J Pandya,Indian Institute of Science Bangalore,18,0,459,58.95
301,Rohit Pant,Indian Institute of Science Bangalore,16,0,535,58.75
302,Pachaiyappan Rajamalli,Indian Institute of Science Bangalore,21,0,334,58.7
303,P Balachandra,Indian Institute of Science Bangalore,19,0,413,58.65
304,Saha,CMR Institute of Technology,25,0,171,58.55
305,P Preethi,PES University,24,0,209,58.45
306,Pritom J Bora,Indian Institute of Science Bangalore,21,0,323,58.15
307,Phaneendra K Yalavarthy,Indian Institute of Science Bangalore,17,0,482,58.1
308,D V S Muthu,Indian Institute of Science Bangalore,25,0,161,58.05
309,KN,CMR Institute of Technology,27,0,81,58.05
310,KS,CMR Institute of Technology,26,0,120,58.0
311,Dinesh P A,M.S. Ramaiah Institute of Technology,29,0,0,58.0
312,Rajib Kalsar,Indian Institute of Science Bangalore,18,0,436,57.8
313,Chaya Ganesh,Indian Institute of Science Bangalore,23,0,236,57.8
314,Abhishek Banerjee,Indian Institute of Science Bangalore,27,0,75,57.75
315,Manish Arora,Indian Institute of Science Bangalore,26,0,113,57.65
316,Rashmi Seethur,PES University,28,0,21,57.05
317,Shishir Kolathaya,Indian Institute of Science Bangalore,24,0,178,56.9
318,A Chandrashekar,International Institute of Information Technology Bangalore,22,0,253,56.65
319,Prakash,CMR Institute of Technology,26,0,92,56.6
320,S Arungalai Vendan,Dayananda Sagar College of Engineering,23,0,209,56.45
321,Seifedine Kadry,R V College of Engineering,9,0,769,56.45
322,MR,CMR Institute of Technology,27,0,49,56.45
323,Subrata Ghosh,Indian Institute of Science Bangalore,17,0,447,56.35
324,Gaurav Tomar,Indian Institute of Science Bangalore,23,0,206,56.3
325,Sumilan Banerjee,Indian Institute of Science Bangalore,19,0,364,56.2
326,Tejas G Murthy,Indian Institute of Science Bangalore,26,0,83,56.15
327,JM Chandra Kishen,Indian Institute of Science Bangalore,20,0,322,56.1
328,A M Jyothi,International Institute of Information Technology Bangalore,10,0,722,56.1
329,Ranjit Barua,Indian Institute of Science Bangalore,22,0,239,55.95
330,Ashitava Ghosal,Indian Institute of Science Bangalore,25,0,116,55.8
331,Anoop Thomas,Indian Institute of Science Bangalore,17,0,434,55.7
332,Pavankumar Tallapragada,Indian Institute of Science Bangalore,25,0,107,55.35
333,D Banerjee,Indian Institute of Science Bangalore,21,0,265,55.25
334,Sayak Dutta Gupta,Indian Institute of Science Bangalore,21,0,264,55.2
335,Asish Prosad,Indian Institute of Science Bangalore,25,0,101,55.05
336,Shikhar Vashishth,Indian Institute of Science Bangalore,11,0,661,55.05
337,Gautam,CMR Institute of Technology,23,0,181,55.05
338,Mubarakali,CMR Institute of Technology,22,0,218,54.9
339,Nichith Chandrasekaran,Indian Institute of Science Bangalore,23,0,177,54.85
340,Yahia M M Antar,Indian Institute of Science Bangalore,24,0,136,54.8
341,Prosenjit Das,Indian Institute of Science Bangalore,23,0,176,54.8
342,Chandan Dasgupta,Indian Institute of Science Bangalore,21,0,252,54.6
343,Das,CMR Institute of Technology,25,0,86,54.3
344,Preeta Sharan,Dayananda Sagar College of Engineering,21,0,245,54.25
345,Parimal Parag,Indian Institute of Science Bangalore,21,0,244,54.2
346,Veena MB,B.M.S. College of Engineering,27,0,0,54.0
347,Rafiq Mulla,B.M.S. College of Engineering,27,0,0,54.0
348,Naik,CMR Institute of Technology,18,0,359,53.95
349,Pappa,CMR Institute of Technology,25,0,77,53.85
350,Anand,CMR Institute of Technology,20,0,276,53.8
351,Madhubanti Mukherjee,Indian Institute of Science Bangalore,11,0,634,53.7
352,Uday Bondhugula,Indian Institute of Science Bangalore,12,0,594,53.7
353,M M Sheikh-Jabbari,Indian Institute of Science Bangalore,10,0,674,53.7
354,M Mathirajan,Indian Institute of Science Bangalore,25,0,71,53.55
355,Sruti Menon,Indian Institute of Science Bangalore,23,0,149,53.45
356,Indrajit Maity,Indian Institute of Science Bangalore,15,0,469,53.45
357,Amit Kumar,Indian Institute of Science Bangalore,21,0,229,53.45
358,RJS,CMR Institute of Technology,14,0,508,53.4
359,S Dasappa,Indian Institute of Science Bangalore,23,0,146,53.3
360,Amrita Mishra,International Institute of Information Technology Bangalore,25,0,64,53.2
361,Prathosh AP,Indian Institute of Science Bangalore,23,0,140,53.0
362,Arka Bandyopadhyay,Indian Institute of Science Bangalore,22,0,179,52.95
363,Sarkar,CMR Institute of Technology,23,0,139,52.95
364,V Balaswamy,Indian Institute of Science Bangalore,21,0,218,52.9
365,Shirish Shevade,Indian Institute of Science Bangalore,18,0,336,52.8
366,Gaurab Banerjee,Indian Institute of Science Bangalore,25,0,56,52.8
367,Sachit Rao,International Institute of Information Technology Bangalore,26,0,15,52.75
368,Raghuraman N Govardhan,Indian Institute of Science Bangalore,23,0,135,52.75
369,Sujoy Saha,Indian Institute of Science Bangalore,18,0,334,52.7
370,Yusuf Olatunji Waidi,Indian Institute of Science Bangalore,21,0,212,52.6
371,Pratikash Panda,Indian Institute of Science Bangalore,24,0,87,52.35
372,Mahander Pratap Singh,Indian Institute of Science Bangalore,21,0,207,52.35
373,Arindam Khan,Indian Institute of Science Bangalore,24,0,86,52.3
374,S Natarajan,PES University,25,0,41,52.05
375,Umadevi V,B.M.S. College of Engineering,26,0,0,52.0
376,SO MANJUNATHA et al,B.M.S. College of Engineering,26,0,0,52.0
377,Partha Kumbhakar,Indian Institute of Science Bangalore,16,0,400,52.0
378,Subramaniam Kalambur,PES University,24,0,79,51.95
379,BK,CMR Institute of Technology,24,0,78,51.9
380,Sushma,CMR Institute of Technology,24,0,72,51.6
381,C Shivakumara,Indian Institute of Science Bangalore,17,0,350,51.5
382,Upendra Harbola,Indian Institute of Science Bangalore,24,0,66,51.3
383,Mahindra Rautela,Indian Institute of Science Bangalore,13,0,506,51.3
384,Arun Malla Chowdhury,Indian Institute of Science Bangalore,15,0,426,51.3
385,Soumalya Bhattacharyya,Indian Institute of Science Bangalore,11,0,586,51.3
386,J Senthilnath,Indian Institute of Science Bangalore,15,0,421,51.05
387,Vakula Rani,CMR Institute of Technology,22,0,139,50.95
388,Kaup,CMR Institute of Technology,20,0,219,50.95
389,Sami Muhaidat,PES University,21,0,178,50.9
390,JS,CMR Institute of Technology,22,0,137,50.85
391,Swathi,CMR Institute of Technology,23,0,96,50.8
392,P Vijay Kumar,Indian Institute of Science Bangalore,20,0,215,50.75
393,Ashutosh Mohanty,Indian Institute of Science Bangalore,19,0,255,50.75
394,Nanditha Rao,International Institute of Information Technology Bangalore,24,0,50,50.5
395,N Sundararajan,Indian Institute of Science Bangalore,21,0,170,50.5
396,V Leela,PES University,17,0,329,50.45
397,Dinkar Sitaram,PES University,22,0,127,50.35
398,Atul H Chokshi,Indian Institute of Science Bangalore,17,0,326,50.3
