researcher,institution,domain,publications,citations,research_score,rank
L. Sunil Chandran,Indian Institute of Science Bangalore,Data Science and Knowledge Discovery,18,24,36.48,2
B. Ananthanarayan,Indian Institute of Science Bangalore,Data Science and Knowledge Discovery,15,119,32.38,3
Rajiv Soundararajan,Indian Institute of Science Bangalore,Data Science and Knowledge Discovery,13,178,29.56,4
Anand Louis,Indian Institute of Science Bangalore,Data Science and Knowledge Discovery,13,159,29.18,5
Prabeer Barpanda,Indian Institute of Science Bangalore,Energy Storage and Renewable Energy,50,717,114.34,1
Praveen C. Ramamurthy,Indian Institute of Science Bangalore,Energy Storage and Renewable Energy,28,251,61.02,2
Gopalakrishnan Sai Gautam,Indian Institute of Science Bangalore,Energy Storage and Renewable Energy,22,530,54.6,3
Aninda J. Bhattacharyya,Indian Institute of Science Bangalore,Energy Storage and Renewable Energy,19,274,43.48,4
Bidisha Nath,Indian Institute of Science Bangalore,Energy Storage and Renewable Energy,18,144,38.88,5
Jaya Prakash,Indian Institute of Science Bangalore,Healthcare and Biomedical Engineering,21,336,48.72,1
Fatimah,CMR Institute of Technology,Healthcare and Biomedical Engineering,10,448,28.96,2
Madhav Rao,International Institute of Information Technology Bangalore,Healthcare and Biomedical Engineering,13,64,27.28,3
Kaustav Roy,Indian Institute of Science Bangalore,Healthcare and Biomedical Engineering,11,120,24.4,4
Phaneendra K. Yalavarthy,Indian Institute of Science Bangalore,Healthcare and Biomedical Engineering,8,266,21.32,5
Dankan Gowda,International Institute of Information Technology Bangalore,Intelligent Transportation Systems,11,209,26.18,1
Ashish Verma,Indian Institute of Science Bangalore,Intelligent Transportation Systems,10,35,20.7,2
C. B. Sivaparthipan,R V College of Engineering,Intelligent Transportation Systems,4,327,14.54,3
M. Mathirajan,Indian Institute of Science Bangalore,Intelligent Transportation Systems,7,17,14.34,4
BalaAnand Muthu,R V College of Engineering,Intelligent Transportation Systems,3,324,12.48,5
G. Narayanan,Indian Institute of Science Bangalore,Mechanical Systems and Control Engineering,65,360,137.2,1
Vinyas Mahesh,Indian Institute of Science Bangalore,Mechanical Systems and Control Engineering,23,874,63.48,2
L. Umanand,Indian Institute of Science Bangalore,Mechanical Systems and Control Engineering,27,163,57.26,3
Syed Shahjahan Ahmad,Indian Institute of Science Bangalore,Mechanical Systems and Control Engineering,22,158,47.16,4
K. Gopakumar,Indian Institute of Science Bangalore,Mechanical Systems and Control Engineering,22,122,46.44,5
R. Ganesan,Indian Institute of Science Bangalore,Photonics and Quantum Materials,57,1336,140.72,1
Shankar Kumar Selvaraja,Indian Institute of Science Bangalore,Photonics and Quantum Materials,66,303,138.06,2
D. Alagarasan,Indian Institute of Science Bangalore,Photonics and Quantum Materials,44,1184,111.68,3
Srinivas Talabattula,Indian Institute of Science Bangalore,Photonics and Quantum Materials,51,227,106.54,4
V. R. Supradeepa,Indian Institute of Science Bangalore,Photonics and Quantum Materials,50,312,106.24,5
‎Debmalya Sain,Indian Institute of Science Bangalore,Physics and Theoretical Sciences,40,114,82.28,1
Kallol Paul,Indian Institute of Science Bangalore,Physics and Theoretical Sciences,30,129,62.58,2
Pintu Bhunia,Indian Institute of Science Bangalore,Physics and Theoretical Sciences,28,176,59.52,3
