rank,researcher,institution,publications,theses,citations,research_score
87,K J Vinoy,Indian Institute of Science Bangalore,51,0,369,120.45
88,BalaAnand Muthu,R V College of Engineering,25,0,1402,120.1
89,Suvitha Rajesh,CMR Institute of Technology,49,0,438,119.9
90,Rabindra Biswas,Indian Institute of Science Bangalore,50,1,313,118.65
91,Takashi Taniguchi,Indian Institute of Science Bangalore,43,0,632,117.6
92,Sharma,CMR Institute of Technology,47,0,459,116.95
93,Rajeev Ranjan,Indian Institute of Science Bangalore,46,0,450,114.5
94,M Narasimha Murty,Indian Institute of Science Bangalore,45,0,489,114.45
95,Vikram Jayaram,Indian Institute of Science Bangalore,47,0,397,113.85
96,Aloke Kumar,Indian Institute of Science Bangalore,42,0,593,113.65
97,Partha Talukdar,Indian Institute of Science Bangalore,21,0,1412,112.6
98,Jyant Kumar,Indian Institute of Science Bangalore,44,0,474,111.7
99,Radhakant Padhi,Indian Institute of Science Bangalore,48,0,311,111.55
100,Neelesh B Mehta,Indian Institute of Science Bangalore,49,0,262,111.1
101,Apoorva Khare,Indian Institute of Science Bangalore,53,0,98,110.9
102,Mohana,R V College of Engineering,45,1,351,110.55
103,MS,CMR Institute of Technology,50,0,203,110.15
104,S Varadharajaperumal,Indian Institute of Science Bangalore,33,0,881,110.05
105,Chetan Singh Thakur,Indian Institute of Science Bangalore,44,0,423,109.15
106,Soma Biswas,Indian Institute of Science Bangalore,42,0,494,108.7
107,‎Debmalya Sain,Indian Institute of Science Bangalore,50,0,150,107.5
108,S Sampath,Indian Institute of Science Bangalore,41,0,501,107.05
109,Rahul Pandit,Indian Institute of Science Bangalore,43,0,387,105.35
110,Subho Dasgupta,Indian Institute of Science Bangalore,41,0,443,104.15
111,Koushik Viswanathan,Indian Institute of Science Bangalore,45,0,271,103.55
112,B V Venkatarama Reddy,Indian Institute of Science Bangalore,42,0,351,101.55
113,Jeevesh Kumar,Indian Institute of Science Bangalore,40,1,367,101.35
114,Himanshu Tyagi,Indian Institute of Science Bangalore,46,0,182,101.1
115,H R Mamatha,PES University,45,0,177,98.85
116,Prafull Pandey,Indian Institute of Science Bangalore,28,1,792,98.6
117,Sushobhan Avasthi,Indian Institute of Science Bangalore,42,0,287,98.35
118,Jogesh Chandra Dash,Indian Institute of Science Bangalore,40,0,357,97.85
119,SM,CMR Institute of Technology,43,0,223,97.15
120,Akshay Naik,Indian Institute of Science Bangalore,43,0,216,96.8
121,Prateek Sharma,Indian Institute of Science Bangalore,31,0,695,96.75
122,Gurunath Gurrala,Indian Institute of Science Bangalore,45,0,132,96.6
123,Joshua Samuel Raj,CMR Institute of Technology,30,0,713,95.65
124,RV Ravikrishna,Indian Institute of Science Bangalore,39,0,339,94.95
125,Vishnu Mahadeva Iyer,Indian Institute of Science Bangalore,43,0,174,94.7
126,P Anbazhagan,Indian Institute of Science Bangalore,36,0,448,94.4
127,Kunal N Chaudhury,Indian Institute of Science Bangalore,39,0,310,93.5
128,Manish Jain,Indian Institute of Science Bangalore,32,0,577,92.85
129,J Manikandan,PES University,41,0,213,92.65
130,Amaresh Chakrabarti,Indian Institute of Science Bangalore,43,0,127,92.35
131,KP,CMR Institute of Technology,40,0,241,92.05
132,Ravindra Kumar Jha,Indian Institute of Science Bangalore,27,0,752,91.6
133,Mrinmoy De,Indian Institute of Science Bangalore,29,0,671,91.55
134,Pradipta Biswas,Indian Institute of Science Bangalore,39,0,269,91.45
135,Suhasini Gururaja,Indian Institute of Science Bangalore,31,0,576,90.8
136,Rajeshwari Hegde,B.M.S. College of Engineering,45,0,0,90.0
137,Sarasij Das,Indian Institute of Science Bangalore,38,0,267,89.35
138,Niranjan,CMR Institute of Technology,36,0,329,88.45
139,Abha Misra,Indian Institute of Science Bangalore,35,0,368,88.4
140,R Muralidharan,Indian Institute of Science Bangalore,32,0,485,88.25
141,B M Shankar,PES University,33,0,444,88.2
142,T V Prabhakar,Indian Institute of Science Bangalore,39,0,190,87.5
143,Gobinda Das Adhikary,Indian Institute of Science Bangalore,32,1,404,87.2
144,Tanmoy Das,Indian Institute of Science Bangalore,25,0,744,87.2
145,AS,CMR Institute of Technology,39,0,182,87.1
146,Shayan Srinivasa Garani,Indian Institute of Science Bangalore,39,0,181,87.05
147,Sakshi Mehta,Indian Institute of Science Bangalore,33,0,420,87.0
148,Gyan Shankar,Indian Institute of Science Bangalore,31,1,438,86.9
149,Jain,CMR Institute of Technology,40,0,131,86.55
150,Routray,CMR Institute of Technology,33,0,406,86.3
151,Chinnaiyan,CMR Institute of Technology,32,0,436,85.8
152,Gupta,CMR Institute of Technology,30,0,513,85.65
153,I S Shivakumara,PES University,32,0,433,85.65
154,Kausik Majumdar,Indian Institute of Science Bangalore,31,0,470,85.5
155,Chandramani Singh,Indian Institute of Science Bangalore,39,0,146,85.3
156,S B Krupanidhi,Indian Institute of Science Bangalore,28,0,583,85.15
157,Deependra Kumar Singh,Indian Institute of Science Bangalore,25,1,641,85.05
158,Kallol Paul,Indian Institute of Science Bangalore,38,0,168,84.4
159,Rajarshi Roy Chaudhuri,Indian Institute of Science Bangalore,36,0,246,84.3
160,B Chethan,Indian Institute of Science Bangalore,31,0,445,84.25
161,Ranjan Ganguli,Indian Institute of Science Bangalore,36,0,243,84.15
162,Sanjeev Kumar,Indian Institute of Science Bangalore,35,1,213,83.65
163,Jogendra Nath Kundu,Indian Institute of Science Bangalore,26,1,568,83.4
164,Fatimah,CMR Institute of Technology,23,0,740,83.0
165,Asha Bhardwaj,Indian Institute of Science Bangalore,34,0,289,82.45
166,V Kumaran,Indian Institute of Science Bangalore,35,0,247,82.35
