Field_ID,Field
POLYMER_TECHNOLOGY,POLYMER TECHNOLOGY
ELECTRONICS,ELECTRONICS
COMPUTER_SCIENCE,COMPUTER SCIENCE
CHEMICAL,CHEMICAL
ELECTRICAL,ELECTRICAL
MECHANICAL_ENGINEERING,MECHANICAL ENGINEERING
PHYSICS,PHYSICS
COMMUNICATION,COMMUNICATION
BIOCHEMISTRY,BIO-CHEMISTRY
BIOMEDICAL_ENGINEERING,BIO-MEDICAL ENGINEERING
BIOTECHNOLOGY,BIOTECHNOLOGY
CIVIL,CIVIL
FOOD,FOOD
TEXTILE,TEXTILE
METALLURGY,METALLURGY
UNKNOWN,
