record_id,source_table,entity_text,entity_label,canonical_name,entity_id,start_char,end_char
677,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
678,theses,Civil Engineering,DEPARTMENT,Civil Engineering,CIVIL_ENGINEERING,,
678,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
678,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
679,theses,Computer Science and Automation,DEPARTMENT,Computer Science and Automation,COMPUTER_SCIENCE_AND_AUTOMATION,,
679,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
679,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
680,theses,Materials Research Centre,DEPARTMENT,Materials Research Centre,MATERIALS_RESEARCH_CENTRE,,
680,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
680,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
681,theses,Centre for BioSystems Science and Engineering,DEPARTMENT,Centre for BioSystems Science and Engineering,CENTRE_FOR_BIOSYSTEMS_SCIENCE_AND_ENGINEERING,,
681,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
681,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
682,theses,Centre for Product Design and Manufacturing,DEPARTMENT,Centre for Product Design and Manufacturing,CENTRE_FOR_PRODUCT_DESIGN_AND_MANUFACTURING,,
682,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
682,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
683,theses,Materials Engineering,DEPARTMENT,Materials Engineering,MATERIALS_ENGINEERING,,
683,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
683,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
