Publication_ID,Subdomain_ID
PUB_000111,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000112,MECHANICS_OF_MATERIALS
PUB_000113,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000114,CONTROL_AND_SYSTEMS_ENGINEERING
PUB_000115,COMPUTER_VISION_AND_PATTERN_RECOGNITION
PUB_000116,HARDWARE_AND_ARCHITECTURE
PUB_000117,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000118,MATERIALS_CHEMISTRY
PUB_000119,COMPUTER_NETWORKS_AND_COMMUNICATIONS
PUB_000120,CONDENSED_MATTER_PHYSICS
PUB_000121,ARTIFICIAL_INTELLIGENCE
PUB_000122,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000123,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000124,BIOMEDICAL_ENGINEERING
PUB_000125,MATERIALS_CHEMISTRY
PUB_000126,MATERIALS_CHEMISTRY
PUB_000127,MECHANICS_OF_MATERIALS
PUB_000128,MATERIALS_CHEMISTRY
PUB_000129,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000130,MECHANICAL_ENGINEERING
PUB_000131,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000132,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000133,ASTRONOMY_AND_ASTROPHYSICS
PUB_000134,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000135,MATERIALS_CHEMISTRY
PUB_000136,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000137,AUTOMOTIVE_ENGINEERING
PUB_000138,CERAMICS_AND_COMPOSITES
PUB_000139,CONDENSED_MATTER_PHYSICS
PUB_000140,INFORMATION_SYSTEMS
PUB_000141,POLYMERS_AND_PLASTICS
PUB_000142,BIOMEDICAL_ENGINEERING
PUB_000143,MATERIALS_CHEMISTRY
PUB_000144,ASTRONOMY_AND_ASTROPHYSICS
PUB_000145,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000146,CIVIL_AND_STRUCTURAL_ENGINEERING
PUB_000147,MECHANICAL_ENGINEERING
PUB_000148,POLYMERS_AND_PLASTICS
PUB_000149,CONDENSED_MATTER_PHYSICS
PUB_000150,MECHANICAL_ENGINEERING
PUB_000151,POLYMERS_AND_PLASTICS
PUB_000152,ASTRONOMY_AND_ASTROPHYSICS
PUB_000153,CIVIL_AND_STRUCTURAL_ENGINEERING
PUB_000154,BIOMEDICAL_ENGINEERING
PUB_000155,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000156,MATERIALS_CHEMISTRY
PUB_000157,MECHANICAL_ENGINEERING
PUB_000158,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000159,BIOMEDICAL_ENGINEERING
PUB_000160,MATERIALS_CHEMISTRY
PUB_000161,MECHANICAL_ENGINEERING
PUB_000162,ASTRONOMY_AND_ASTROPHYSICS
PUB_000163,MECHANICS_OF_MATERIALS
PUB_000164,MATERIALS_CHEMISTRY
PUB_000165,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000166,ASTRONOMY_AND_ASTROPHYSICS
PUB_000167,MATERIALS_CHEMISTRY
PUB_000168,MATERIALS_CHEMISTRY
PUB_000169,MATERIALS_CHEMISTRY
PUB_000170,MATERIALS_CHEMISTRY
PUB_000171,ATOMIC_AND_MOLECULAR_PHYSICS_AND_OPTICS
PUB_000172,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000173,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000174,MATERIALS_CHEMISTRY
PUB_000175,MATERIALS_CHEMISTRY
PUB_000176,BIOMEDICAL_ENGINEERING
PUB_000177,CONTROL_AND_SYSTEMS_ENGINEERING
PUB_000178,BIOMEDICAL_ENGINEERING
PUB_000179,COMPUTER_VISION_AND_PATTERN_RECOGNITION
PUB_000180,COMPUTATIONAL_MECHANICS
PUB_000181,MATERIALS_CHEMISTRY
PUB_000182,MATERIALS_CHEMISTRY
PUB_000183,MATERIALS_CHEMISTRY
PUB_000184,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000185,ATOMIC_AND_MOLECULAR_PHYSICS_AND_OPTICS
PUB_000186,BIOMEDICAL_ENGINEERING
PUB_000187,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000188,BIOMATERIALS
PUB_000189,ASTRONOMY_AND_ASTROPHYSICS
PUB_000190,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000191,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000192,ARTIFICIAL_INTELLIGENCE
PUB_000193,MATERIALS_CHEMISTRY
PUB_000194,CONDENSED_MATTER_PHYSICS
PUB_000195,MATERIALS_CHEMISTRY
PUB_000196,BIOMATERIALS
PUB_000197,ATOMIC_AND_MOLECULAR_PHYSICS_AND_OPTICS
PUB_000198,CIVIL_AND_STRUCTURAL_ENGINEERING
PUB_000199,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000200,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000201,MATERIALS_CHEMISTRY
PUB_000202,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000203,BIOMEDICAL_ENGINEERING
PUB_000204,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000205,MATERIALS_CHEMISTRY
PUB_000206,BIOMEDICAL_ENGINEERING
PUB_000207,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000208,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000209,MATERIALS_CHEMISTRY
PUB_000210,CONDENSED_MATTER_PHYSICS
PUB_000211,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000212,BIOMEDICAL_ENGINEERING
PUB_000213,MATERIALS_CHEMISTRY
PUB_000214,BIOMEDICAL_ENGINEERING
PUB_000215,ASTRONOMY_AND_ASTROPHYSICS
PUB_000216,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000217,COMPUTER_VISION_AND_PATTERN_RECOGNITION
PUB_000218,COMPUTATIONAL_MECHANICS
PUB_000219,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000220,AEROSPACE_ENGINEERING
PUB_000221,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000222,COMPUTER_VISION_AND_PATTERN_RECOGNITION
PUB_000223,BIOMEDICAL_ENGINEERING
PUB_000224,CIVIL_AND_STRUCTURAL_ENGINEERING
PUB_000225,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000226,MECHANICAL_ENGINEERING
PUB_000227,CONTROL_AND_SYSTEMS_ENGINEERING
PUB_000228,ASTRONOMY_AND_ASTROPHYSICS
PUB_000229,MECHANICAL_ENGINEERING
PUB_000230,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000231,MECHANICS_OF_MATERIALS
PUB_000232,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000233,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000234,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000235,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000236,BIOMEDICAL_ENGINEERING
PUB_000237,MECHANICS_OF_MATERIALS
PUB_000238,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000239,POLYMERS_AND_PLASTICS
PUB_000240,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000241,MECHANICAL_ENGINEERING
PUB_000242,ASTRONOMY_AND_ASTROPHYSICS
PUB_000243,AUTOMOTIVE_ENGINEERING
PUB_000244,MATERIALS_CHEMISTRY
PUB_000245,MATERIALS_CHEMISTRY
PUB_000246,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000247,MATERIALS_CHEMISTRY
PUB_000248,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000249,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000250,COMPUTER_VISION_AND_PATTERN_RECOGNITION
PUB_000251,ATOMIC_AND_MOLECULAR_PHYSICS_AND_OPTICS
PUB_000252,MATERIALS_CHEMISTRY
PUB_000253,MECHANICAL_ENGINEERING
PUB_000254,BIOMEDICAL_ENGINEERING
PUB_000255,POLYMERS_AND_PLASTICS
PUB_000256,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000257,MATERIALS_CHEMISTRY
PUB_000258,MATERIALS_CHEMISTRY
PUB_000259,BIOMATERIALS
PUB_000260,MATERIALS_CHEMISTRY
PUB_000261,BIOMEDICAL_ENGINEERING
PUB_000262,MATERIALS_CHEMISTRY
PUB_000263,CONDENSED_MATTER_PHYSICS
PUB_000264,MATERIALS_CHEMISTRY
PUB_000265,BIOMATERIALS
PUB_000266,MECHANICAL_ENGINEERING
PUB_000267,ARTIFICIAL_INTELLIGENCE
PUB_000268,MECHANICS_OF_MATERIALS
PUB_000269,BIOMATERIALS
PUB_000270,MATERIALS_CHEMISTRY
PUB_000271,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000272,SIGNAL_PROCESSING
PUB_000273,CIVIL_AND_STRUCTURAL_ENGINEERING
PUB_000274,ASTRONOMY_AND_ASTROPHYSICS
PUB_000275,ATOMIC_AND_MOLECULAR_PHYSICS_AND_OPTICS
PUB_000276,ATOMIC_AND_MOLECULAR_PHYSICS_AND_OPTICS
PUB_000277,ATOMIC_AND_MOLECULAR_PHYSICS_AND_OPTICS
PUB_000278,BIOMEDICAL_ENGINEERING
PUB_000279,AEROSPACE_ENGINEERING
PUB_000280,MATERIALS_CHEMISTRY
PUB_000281,ASTRONOMY_AND_ASTROPHYSICS
PUB_000282,MATERIALS_CHEMISTRY
PUB_000283,COMPUTATIONAL_THEORY_AND_MATHEMATICS
PUB_000284,MECHANICAL_ENGINEERING
PUB_000285,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000286,AEROSPACE_ENGINEERING
PUB_000287,MATERIALS_CHEMISTRY
PUB_000288,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000289,CONTROL_AND_SYSTEMS_ENGINEERING
PUB_000290,BIOMATERIALS
PUB_000291,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000292,CONDENSED_MATTER_PHYSICS
PUB_000293,MATERIALS_CHEMISTRY
PUB_000294,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000295,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000296,CIVIL_AND_STRUCTURAL_ENGINEERING
PUB_000297,CONDENSED_MATTER_PHYSICS
PUB_000298,MATERIALS_CHEMISTRY
PUB_000299,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000300,COMPUTATIONAL_MECHANICS
PUB_000301,COMPUTATIONAL_MECHANICS
PUB_000302,BIOMEDICAL_ENGINEERING
PUB_000303,COMPUTER_NETWORKS_AND_COMMUNICATIONS
PUB_000304,COMPUTATIONAL_MECHANICS
PUB_000305,MATERIALS_CHEMISTRY
PUB_000306,BIOMEDICAL_ENGINEERING
PUB_000307,COMPUTER_NETWORKS_AND_COMMUNICATIONS
PUB_000308,HUMANCOMPUTER_INTERACTION
PUB_000309,BIOMEDICAL_ENGINEERING
PUB_000310,MECHANICS_OF_MATERIALS
PUB_000311,MATERIALS_CHEMISTRY
PUB_000312,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000313,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000314,COMPUTATIONAL_MECHANICS
PUB_000315,ARTIFICIAL_INTELLIGENCE
PUB_000316,MATERIALS_CHEMISTRY
PUB_000317,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000318,MATERIALS_CHEMISTRY
PUB_000319,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000320,MATERIALS_CHEMISTRY
PUB_000321,MECHANICAL_ENGINEERING
PUB_000322,MATERIALS_CHEMISTRY
PUB_000323,POLYMERS_AND_PLASTICS
PUB_000324,BIOMEDICAL_ENGINEERING
PUB_000325,MATERIALS_CHEMISTRY
PUB_000326,MATERIALS_CHEMISTRY
PUB_000327,ATOMIC_AND_MOLECULAR_PHYSICS_AND_OPTICS
PUB_000328,MATERIALS_CHEMISTRY
PUB_000329,POLYMERS_AND_PLASTICS
PUB_000330,BIOMEDICAL_ENGINEERING
PUB_000331,APPLIED_MATHEMATICS
PUB_000332,MATERIALS_CHEMISTRY
PUB_000333,COMPUTER_VISION_AND_PATTERN_RECOGNITION
PUB_000334,ASTRONOMY_AND_ASTROPHYSICS
PUB_000335,ASTRONOMY_AND_ASTROPHYSICS
PUB_000336,BIOMEDICAL_ENGINEERING
PUB_000337,SURFACES_COATINGS_AND_FILMS
PUB_000338,STATISTICAL_AND_NONLINEAR_PHYSICS
PUB_000339,SAFETY_RISK_RELIABILITY_AND_QUALITY
PUB_000340,MECHANICS_OF_MATERIALS
PUB_000341,COMPUTATIONAL_MECHANICS
PUB_000342,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000343,STATISTICAL_AND_NONLINEAR_PHYSICS
PUB_000344,CIVIL_AND_STRUCTURAL_ENGINEERING
PUB_000345,ASTRONOMY_AND_ASTROPHYSICS
PUB_000346,ARTIFICIAL_INTELLIGENCE
PUB_000347,CONTROL_AND_SYSTEMS_ENGINEERING
PUB_000348,MATERIALS_CHEMISTRY
PUB_000349,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000350,COMPUTER_NETWORKS_AND_COMMUNICATIONS
PUB_000351,CERAMICS_AND_COMPOSITES
PUB_000352,MATERIALS_CHEMISTRY
PUB_000353,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000354,MATERIALS_CHEMISTRY
PUB_000355,CONTROL_AND_SYSTEMS_ENGINEERING
PUB_000356,COMPUTER_VISION_AND_PATTERN_RECOGNITION
PUB_000357,MECHANICS_OF_MATERIALS
PUB_000358,CIVIL_AND_STRUCTURAL_ENGINEERING
PUB_000359,MECHANICAL_ENGINEERING
