Institution_ID,Patent_ID
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00084
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00085
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00086
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00087
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00088
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00089
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00090
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00091
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00092
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00093
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00094
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00095
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00096
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00097
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00098
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00099
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00100
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00101
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00102
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00103
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00104
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00105
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00106
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00107
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00108
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00109
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00110
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00111
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00112
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00113
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00114
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00115
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00116
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00117
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00118
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00119
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00120
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00121
