Person_ID,Publication_ID
PARTHA_TALUKDAR,PUB_000037
ANUPAM_BISWAS,PUB_000038
RANGARAJAN_BAKTHAVATSALAM,PUB_000038
SAMIR_R_SHAIKH,PUB_000038
APARNA_SHINDE,PUB_000038
AMRUTA_LOHAR,PUB_000038
NAMRATA_SINGH,PUB_000039
GOVINDASAMY_MUGESH,PUB_000039
RUPAK_SAHA,PUB_000040
ANTHONISAMY_DEVARAJ,PUB_000040
SOUMALYA_BHATTACHARYYA,PUB_000040
SOUMIK_DAS,PUB_000040
ENNIO_ZANGRANDO,PUB_000040
BS_MURTY,PUB_000041
JIENWEI_YEH,PUB_000041
S_RANGANATHAN,PUB_000041
PP_BHATTACHARJEE,PUB_000041
AKASH_SINGH,PUB_000042
ABHISHEK_K_SINGH,PUB_000042
M_Y_REKHA,PUB_000043
CHANDAN_SRIVASTAVA,PUB_000043
RINKLE_JUNEJA,PUB_000044
GEORGE_YUMNAM,PUB_000044
SWANTI_SATSANGI,PUB_000044
ABHISHEK_K_SINGH,PUB_000044
MIT_H_NAIK,PUB_000045
INDRAJIT_MAITY,PUB_000045
PRABAL_K_MAITI,PUB_000045
MANISH_JAIN,PUB_000045
M_VAIDYA,PUB_000046
AMEEY_ANUPAM,PUB_000046
J_VIJAY_BHARADWAJ,PUB_000046
CHANDAN_SRIVASTAVA,PUB_000046
BS_MURTY,PUB_000046
RANJAN_GANGULI,PUB_000047
SONDIPON_ADHIKARI,PUB_000047
HARI_VIGNESH_RAMASAMY,PUB_000048
BASKAR_SENTHILKUMAR,PUB_000048
PRABEER_BARPANDA,PUB_000048
YUNSUNG_LEE,PUB_000048
SURESH_CHAVHAN,PUB_000049
DEEPAK_GUPTA,PUB_000049
B_N_CHANDANA,PUB_000049
ASHISH_KHANNA,PUB_000049
JOEL_J_P_C_RODRIGUES,PUB_000049
APURV_YADAV,PUB_000050
K_GOPAKUMAR,PUB_000050
KRISHNA_RAJ_R,PUB_000050
L_UMANAND,PUB_000050
SUBHASHISH_BHATTACHARYA,PUB_000050
PRAMOD_HALAPPA,PUB_000051
HARSHITHA_M_RAJASHEKAR,PUB_000051
C_SHIVAKUMARA,PUB_000051
APURBA_RAY,PUB_000052
ATANU_ROY,PUB_000052
SAMIK_SAHA,PUB_000052
MONALISA_GHOSH,PUB_000052
SREYA_ROY_CHOWDHURY,PUB_000052
NEEL_KAMAL_BHAGAT,PUB_000053
Y_VISHNUSAI,PUB_000053
G_N_RATHNA,PUB_000053
G_JAGANNATH,PUB_000054
B_ERAIAH,PUB_000054
ANURAAG_GADDAM,PUB_000054
HUGO_R_FERNANDES,PUB_000054
DANIELA_BRAZETE,PUB_000054
RANJANI_SESHADRI,PUB_000055
ANIRBAN_DUTTA,PUB_000055
