Institution_ID,Publication_ID
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000084
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000085
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000086
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000087
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000088
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000089
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000090
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000091
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000092
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000093
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000094
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000095
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000096
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000097
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000098
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000099
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000100
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000101
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000102
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000103
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000104
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000105
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000106
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000107
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000108
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000109
