Institution_ID,Grant_ID
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00081
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00082
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00083
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00084
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00085
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00086
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00087
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00088
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00089
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00090
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00091
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00092
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00093
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00094
INTERNATIONAL_INSTITUTE_OF_INFORMATION_TECHNOLOGY_BANGALORE,GRANT_00095
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00096
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00097
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00098
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00099
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00100
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00101
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00102
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00103
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00104
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00105
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00106
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00107
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00108
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00109
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00110
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00111
