Person_ID,Thesis_ID
MOHAN_KUMAR_M_S,430426
OOMMEN_CHARLIE,430429
RAMAKRISHNAN_K_R_AND_BISWAS_SOMA,425794
KUMAR_SUBODH_AND_BOSE_SURYASARATHI,429958
SAHOO_BALARAM,429965
BALACHANDRA_P,431378
CHATTOPADHYAY_KAMANIO_AND_SRIVASTAVA_CHANDAN,429960
PADHI_RADHAKANT,431380
CHAUDHURI_SWETAPROVO,429962
NANDA_K_K,429199
CHAKRABARTI_RAMANANDA,425983
RAJANNA_K_AND_ASOKAN_S_AND_NARASIMHA_PRASAD,426170
UMANAND_L,430042
SHRIVASTAVA_MAYANK,430659
SEN_PROSENJIT_AND_BOBJI_M_S,427207
SAMBANDAN_SANJIV_AND_AMRUTUR_BHARADWAJ,431361
GARANI_SHAYAN_SRINIVASA,430657
GHOSH_PRASANTA_KUMAR,430653
SIMHA_K_R_Y,447243
DASAPPA_S,447245
RAICHUR_ASHOK_M_AND_ASOKAN_S,428816
MATHEW_JOSEPH,447244
BALACHANDRA_P,431363
SONTI_VENKATA_R,428874
RAO_SUDHAKAR_M,428983
NARASIMHAN_R_AND_RAMAMURTY_U_AND_KUMAR_PRAVEEN,434407
GURURAJA_SUHASINI,434419
GANGULI_RANJAN_AND_KANDAGAL_S_B_AND_JANA_SOUMENDU,434388
GOPALAKRISHNAN_S,434381
MURTHY_ADITYA_AND_PADHI_RADHAKANT,433991
JOHN_VINOD,434015
TYAGI_RENU_AND_NATH_DIGBIJOY_N,434020
RAGHURAMA_RAO_S_V_AND_SEKHAR_H_N,429711
ASOKAN_S,426369
MADRAS_GIRIDHAR_AND_MODAK_JAYANT_M,429329
VIJAY_KUMAR_P,433694
SIVAKUMAR_BABU_G_L,433717
NARASIMHA_MURTY_M,433697
NOTT_PRABHU_R,433690
GANGULI_RANJAN,433709
VENKATAKRISHAN_L_AND_JAGADEESH_G,433729
ABINANDANAN_T_A,431728
JOHN_VINOD,431730
RAO_SUDHAKAR_M,433686
RAMAMURTHY_PRAVEEN_C_AND_SENGUPTA_SANCHITA_AND_PANDEY_UPENDRA,433680
KUMAR_SUBODH,433685
SEKHAR_M,426353
KUMAR_PRAVEEN,426403
BOSE_SURYASARATHI,426388
SUBRAMANIAN_S,426398
RATNOO_ASHWINI_AND_GHOSE_DEBASISH_AND_UMAKANT_J,426500
SELVARAJA_SHANKAR_KUMAR,426492
AVASTHI_SUSHOBHAN,426515
RANJAN_RAJEEV,426518
BASU_JAYDEEP_KUMAR_AND_AYAPPA_K_GANAPATHY,426520
PAUL_ALOKE_AND_JAYARAM_VIKRAM,429561
RAGHAVAN_K_V,428639
GOPAKUMAR_K_AND_UMANAND_L,426478
BARMAN_SIDDHARTH_AND_NARAHARI_Y,426472
GOPAKUMAR_K,426480
SELVARAJA_SHANKAR_KUMAR,426547
CHANDRA_KISHEN_J_M,426558
CHATTOPADHYAY_KAMANIO_AND_BASU_BIKRAMJIT,426557
VENKATAPATHI_MURUGESAN,426479
BHATNAGAR_SHALABH,426487
BHATNAGAR_SHALABH,426584
HARURSAMPATH_DINESH_KUMAR,426525
RAMAKRISHNAN_A_G,426522
KUMAR_SANJEEV,426538
VENKATARAMA_REDDY_B_V,426539
BASU_SAPTARSHI,426580
PATRA_ARPITA,426569
SINGH_ABHISHEK_K,426570
KANADE_ADITYA,426583
GHOSH_PRASANTA_KUMAR,426672
NAGESH_KUMAR_D,428346
NARASIMHA_MURTHY_M,428347
PADHI_RADHAKANT,426643
BHATNAGAR_SHALABH,426451
RAVISHANKAR_N,426601
SRIVASTAVA_CHANDAN,426605
BISWAS_SOMA,426586
SEN_PROSENJIT_AND_VARMA_MANOJ,426498
CHOCKALINGAM_A,426506
NANDA_K_K,426476
UMARJI_ARUN_M_AND_NANDA_K_K,428358
NARAYANAN_G,426649
ANANTHASURESH_G_K,428355
CHOCKALINGAM_A,426652
JAYARAM_VIKRAM_AND_KUMAR_PRAVEEN,426732
KUMAR_SUBODH,426734
KANUKURTHI_BHAVANA,428413
ARAKERI_J_H_AND_SHUKLA_R_K,426751
BASU_SAPTARSHI_AND_JASVANTH_V_S,428364
KUMAR_JYANT,426708
MAJUMDAR_KAUSIK,426724
DATTA_SUBRATA_KUMAR_AND_VINOY_K_J,426725
RAO_SUDHAKAR_M,426730
VERMA_ASHISH,426727
GUPTA_SANJEEV_KUMAR,428397
RAMAMURTHY_PRAVEEN_C_AND_CHOUDHURY_ABHIK,426711
SHENOY_JAYACHANDRA_U,426713
RAO_SUDHAKAR_M,428396
PRATAP_RUDRA,449993
NARASIMHA_MURTHY_M,449995
RAICHUR_ASHOK_M,426440
DUTTA_PRADIP,426449
VENKATARAM_PALLAPA_AND_SRINIVAS_T,426417
MAHAPATRA_SANTANU,426415
RATNOO_ASHWINI,426441
NARAHARI_Y,426460
BHAT_NAVAKANTA,428653
GUPTA_GOVIND_S,428654
PUNNATHANAM_SUDEEP_N,427758
SUPRADEEPA_V_R,425652
BOSE_SURYASARATHI,427772
UMARJI_ARUN_M_AND_NANDA_K_K,427782
DSOUZA_DEEPAK,427783
BASU_BIKRAMJIT,427773
MEHTA_NEELESH_B,429867
SAHA_CHANDAN,425793
GOPE_DIPANJAN,427805
BHAT_NAVAKANTA,429955
BISWAS_PRADIPTA,425747
GOVINDARAJAN_R_AND_BALAKRISHNAN_N,425739
VENKATAPATHI_MURUGESAN,427789
GHOSAL_ASHITAVA,427784
MADRAS_GIRIDHAR_AND_BOSE_SURYASARATHI,429183
SHENOY_JAYACHANDRA_U,429188
CHATTERJEE_KAUSHIK_AND_SUNDARESAN_N_RAVI,425827
KAILAS_SATISH_V,425986
DASAPPA_S_AND_ASUNDI_JAI,425991
BANERJEE_DIPANKAR,426022
RAMACHANDRA_T_V,429209
CHOKSHI_ATUL_H,426026
GOPALAKRISHNAN_S,426128
BALAKRISHNAN_N,426125
RAMAKRISHNAN_A_G,426105
RAVIKRISHNA_R_V,426110
AVASTHI_SUSHOBHAN_AND_RANJAN_RAJEEV,426126
VARMA_MANOJ,426060
PRATAP_RUDRA,426132
ROY_RAHUL,426186
BHATTACHARYYA_CHIRANJIB_AND_GOPALAN_ADITYA,426127
KRISHNAN_SAJEEV_AND_WILLIAMS_IAN_S,430031
AMBIRAJAN_AMRIT_AND_DUTTA_PRADIP_AND_KUMAR_PRAMOD,426129
VARMA_MANOJ_AND_NAIK_AKSHAY,426163
VINOY_K_J,430039
SEELAMANTULA_CHANDRA_SEKHAR,426220
MURTHY_TEJAS_G,430037
CHAUDHURI_SWETAPROVO,426197
CHOKSHI_A_H,426218
CHATTERJEE_SANJIT,428803
CHANDRA_KISHEN_J_M,428805
RAMACHANDRAN_PARTHASARATHY,428811
SINGH_VARSHA_AND_VARMA_MANOJ,428832
UMANAND_L,428851
AYAPPA_K_GANAPATHY,447379
GHOSE_DEBASISH,429739
KUMAR_SUBODH_AND_BOSE_SURYASARATHI,428981
SITHARAM_T_G_AND_KOLATHAYAR_SREEVALSA,434430
SUPRADEEPA_V_R_AND_SELVARAJA_SHANKAR_KUMAR,434422
VIJAY_KUMAR_P,434432
GURUMOORTHY_B,434427
MEHTA_NEELESH_B,434421
BHAT_NAVAKANTA,434417
RANJAN_RAJEEV,434441
SASTRY_P_S,433997
CHOCKALINGAM_A,434000
CHOUDHURY_ABHIK,434565
SUWAS_SATYAM,428840
GANAPATHY_SRIRAM,426363
SREENIVAS_T_V_AND_HARI_K_V_S,426356
NANDA_K_K_AND_KRUPANIDHI_S_B,426319
SINGH_PUNIT_AND_DUTTA_PRADIP,426320
VENKATESH_BABU_R,433696
JHUNJHUNWALA_SIDDHARTH,426402
AVASTHI_SUSHOBHAN,426384
SEELAMANTULA_CHANDRA_SEKHAR,429332
VENKATARAM_PALLAPA,428605
CHATTOPADHYAY_KAMANIO_AND_PAUL_ALOKE,428608
GARANI_SHAYAN_SRINIVASA,428597
RANJAN_RAJEEV,428600
PRATAP_RUDRA,428634
BASU_BIKRAMJIT,428640
AMRUTUR_BHARADWAJ,429539
RAMAKRISHNAN_A_G,426477
PRABHAKAR_T_V_SINGH_CHANDRAMANI_AND_KUIPERS_FERNANDO,426551
MAJUMDAR_KAUSIK,426488
TRIKHA_MANISH_AND_GOPALAKRISHNAN_S,431367
UMANAND_L,431354
VIJAYARAJU_K_AND_RAMAMURTHY_PRAVEEN_C,431338
VENKATARAMA_REDDY_B_V,427110
VENUGOPAL_S,426333
MAJUMDAR_KAUSIK,426344
GHOSH_PRASANTA_KUMAR,426532
KUMAR_PRAMOD_AND_NAMBURI_ADINARAYANA,426581
BARPANDA_PRABEER,444754
BISWAS_SOMA,426541
TYAGI_HIMANSHU_AND_MURTHY_CHANDRA_R,426544
VINOY_K_J,428352
NARASIMHAN_R,430148
ARIGOVINDAN_MUTHUVEL,430150
ROY_DEBASISH,430149
GURURAJA_SUHASINI,455135
ROY_RAHUL,431369
PUNNATHANAM_SUDEEP_N,426695
ROY_DEBASISH,428401
VENKATARAMA_REDDY_B_V,426776
KUMAR_PRAVEEN_AND_PRATAP_RUDRA,426770
PANDYA_HARDIK_J_AND_DRAVID_VINEET,427130
MEHTA_NEELESH_B,427127
VENKATARAM_PALLAPA_AND_SRINIVAS_T,427131
TALUKDAR_PARTHA_PRATIM,427126
PARAG_PARIMAL,427132
CHATTOPADHYAY_KAMANIO,431347
NATH_DIGBIJOY_N_AND_RAGHAVAN_SRINIVASAN_AND_MURALIDHARAN_RANGARAJAN,449973
RAMAMURTHY_PRAVEEN_C_AND_SUBRAMANIAN_S,429354
ROY_DEBASISH,429344
GUNDIAH_NAMRATA_AND_JOLLY_MOHIT_KUMAR_AND_KONDAIAH_P,429348
RAJANIKANTH_B_S,430145
SHRIVASTAVA_MAYANK,428647
PATRA_ARPITA,430419
SEELAMANTULA_CHANDRA_SEKHAR,429864
SINGH_CHANDRAMANI_AND_KURI_JOY,429862
PANDYA_HARDIK_JEETENDRA,429860
KUMAR_JYANT,429851
MURTHY_TEJAS_G,429855
GARANI_SHAYAN_SRINIVASA,429868
SEN_PROSENJIT,430427
SHEVADE_SHIRISH_AND_NARASIMHA_MURTHY_M,430425
SEN_PROSENJIT,430420
SITHARAM_T_G,429873
THAKUR_CHETAN_SINGH,429877
VERMA_ASHISH,429878
