Applicant_ID,Patent_ID
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00093
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00094
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00095
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00096
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00097
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00098
INDIAN_NAVY,PAT_00098
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00099
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00100
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00101
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00102
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00103
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00104
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00105
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00106
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00107
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00108
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00109
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00110
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00111
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00112
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00113
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00114
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00115
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00116
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00117
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00118
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00119
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00120
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00121
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00122
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00123
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00124
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00125
