Person_ID,Thesis_ID
JAGANATHAN_ANUJA,434407
ADHIKARI_DEBABRATA,434419
KUMAR_S_SATISH,434388
ISHAQUDDIN_MOHAMMED,434381
VARSHA_V,433991
VENKATRAMANAN_D,434015
SINGH_VIKASH_KUMAR,434020
KOLLURU_RAMESH,429711
SHWETA_PANT,426369
MANI_RATHNAM_V,429329
NIKHIL_KRISHNAN_M,433694
PUNDARIKA_SUGHOSH,433717
NANDANWAR_SHARAD,433697
KRISHNARAJ_K_P,433690
KUNDU_BIDISHA,433709
KURADE_RAJAN_BHARAT,433729
KUMAR_NAVEEN,431728
DAM_SHIMUL_KUMAR,431730
VENKATESWARLU_NITISH_M_R_D_S,433686
TARAFDAR_GOURAV,433680
VERMA_KRISHNA_KAMLESH,433685
YEGGINA_SUBASH,426353
SONAWANE_DIPALI,426403
BHATTACHARJEE_YUDHAJIT,426388
MWEENE_L,426398
ANNAM_CHANDRAKANTH,426500
VADIVUKKARASI_JEYASELVAN,426492
CHOUHAN_ARUN_SINGH,426515
DE_ARNAB,426518
ILANILA_I_P,426520
ESAKKIRAJA_N,429561
ATHAIYA_SNIGDHA,428639
RAKESH_R,426478
BISWAS_ARPITA,426472
MAJUMDER_MRIGANKA_GHOSH,426480
MERE_VIPHRETUO,426547
BURUD_NITIN_BABAN,426558
SINGH_MAHANDER_PRATAP,426557
ARUN_I,426479
SINDHU_P_R,426487
JOHN_INDU,426584
KANDULA_VENKATA_RAMA_SATEESH,426525
PANDEY_RAM_KRISHNA,426522
SAHOO_KSHETRAMOHAN,426538
PREETHI_R_K,426539
ADVAITH_S,426580
RAVI_DIVYA,426569
SINGH_AKASH,426570
GUPTA_RAHUL,426583
ACHUTH_RAO_M_V,426672
PAUL_SUBIR,428346
SHARMA_GOVIND,428347
BANERJEE_AVIJIT,426643
KAMANCHI_CHANDRAMOULI,426451
SAMANTARAY_DEBADARSHINI,426601
ARORA_SWEETY,426605
MANDAL_DEVRAJ,426586
MAHESH_KARTHIK,426498
BHAT_SANDEEP,426506
MANOHAR_GOLLAKOTA_VENKATA_SAI,426476
TADEO_INYALOT_JUDE,428358
NAIR_RAMU_R,426649
DESAI_AKSHAY,428355
SURABHI_G_D,426652
JALALI_SYED_IDREES_AFZAL,426732
JANGDE_ASHUTOSH,426734
OBBATTU_SAI_LAKSHMI_BHAVANA,428413
PRABHU_AKHILESH_M,426751
BASHA_MULLA_SALEEM,428364
MOHAPATRA_DEBASIS,426708
MURALI_KRISHNA,426724
BANSIWAL_ASHOK,426725
EVELYNE_RITA_J,426730
HARSHA_VAJJARAPU,426727
ANSARI_ASLAM_MD,428397
KAKA_FIYANSHU,426711
GNANAVIGNESH_R,426713
SUKUMAR_RESHMA,428396
MURUGAPPAN_R,449993
BANDYOPADHYAY_SAMBARAN,449995
MUKHERJEE_MOUSUMI_BETO,426440
DASH_AVINASH,426449
KHANWALKAR_PREETI,426417
DAS_BISWAPRIYO,426415
CHALLA_VINAY_REDDY,426441
GHALME_GANESH_SAMBHAJI,426460
DAWNEE_S,428653
LAKSHMINARASIMHA_SHRUTEE,428654
VEESAM_SHIVANAND_KUMAR,427758
APARANJI_SANTOSH,425652
MUZATA_TANYARADZWA,427772
BHARDWAJ_DEVANSHI,427782
HAQUE_INZEMAMUL,427783
BASU_SUBHADIP,427773
VINEETH_KUMAR_V,429867
NAIR_VINEET,425793
NAYAK_BIBHU_PRASAD,427805
DASGUPTA_PALLAVI,429955
GOWDHAM_PRABHAKAR_P_G,425747
KOLLI_NAIMISHA,425739
JAIN_KRITIKA,427789
AHMAD_NAZEER,427784
GEBREKRSTOS_AMANUEL,429183
VINOD_V,429188
JAIN_ADITI,425827
PARIYAR_ABHISHEK,425986
SURESH_N_S,425991
MOHAN_MANU_S,426022
HEBBALE_DEEPTHI,429209
ARYA_ABHINAV,426026
BANGARU_RAJASEKHAR,426128
YOUSUF_MOHAMED_AMALI_UTHUMAN,426125
MADHAVARAJ_A,426105
GHOSH_ANUPAM,426110
MUKHERJEE_RUDRA,426126
CHAKRABORTTY_TUHIN,426060
TIWARI_SUDHANSHU,426132
UMRAO_SAURABH,426186
SAHA_AADIRUPA,426127
NAMBAJE_CLAUDE,430031
RAGHAVENDRA_VENKATA,426129
RAMKUMAR_B,426163
BHAT_VIJAYASHREE,430039
RUDRESH_SUNIL,426220
SINGH_SAURABH,430037
GOPAKUMAR_R,426197
GIRISH_B,426218
KABALEESHWARAN_R,428803
SINGH_PARVINDER,428805
ABRAHAM_ANAND_JACOB,428811
GUPTA_ANJALI,428832
REDDY_SIDDAVATAM_RAVI_PRAKASH,428851
MANOKARAN_RAJASEKARAN,447379
SWAMINATHAN_SHRIRAM,429739
VERMA_KUNDAN_KUMAR,428981
RAMABHADRAN_RAMKRISHNAN,434430
NAGARJUN_K_P,434422
VAJHA_MYNA,434432
BEERA_DAMAYANTHI_JESUDAS,434427
RIMALAPUDI_SARVENDRANATH,434421
SAKHUJA_NEHA,434417
DAS_ADHIKARY_GOBINDA,434441
UPADHYA_VIDYADHAR,433997
BHARATH_S,434000
BHADAK_BHALCHANDRA,434565
YAZAR_K_U,428840
AGRAWAL_PURVI,426363
CHETUPALLI_SRIKANTH_RAJ,426356
CHOWDHURY_ARUN_MALLA,426319
VIJAYARAJ_K,426320
SAM_DEEPAK_BABU,433696
SHARMA_PREETI,426402
R_PRAMOD,426384
POKALA_PRAVEEN_KUMAR,429332
GUNJAL_SAMYAMA_G_H,428605
BANSAL_UJJVAL,428608
MONDAL_ARIJIT,428597
KUMAR_NAVEEN,428600
ROY_KAUSTAV,428634
VIDUSHI,428640
GUBBI_VENKATESH_SAGAR,429539
DAS_SHOME_SUBHRA,426477
POLACHAN_KURIAN,426551
DANDU_MEDHA,426488
KULKARNI_RAGHAVENDRA_B,431367
NARAYANAN_NAKUL_K,431354
ANGAPPAN_M,431338
VENKATARAMU_VIBHA,427110
KUMAR_SUSHANT,426333
DAS_SARTHAK,426344
ILLA_ARAVIND,426532
S_SHARATH,426581
CHAUPATNAIK_ANSHUMAN,444754
DUTTA_TITIR,426541
RAMESH_LEKSHMI,426544
GLADWIN_JOS_K_T,428352
DUTTA_TANMAY,430148
REJESH_N_A,430150
DHAS_BENSINGH_P,430149
POTHNIS_JAYARAM,455135
MAURYA_SATYAGHOSH,431369
ADDULA_RAVI_KUMAR_REDDY,426695
DAS_SANHITA,428401
RATHOD_SRIBHANUPRATAP_R,426776
SHASTRI_VIJAYENDRA_UMESH,426770
PAL_UTTAM_MRINAL,427130
KIRAN_RAMA,427127
CHAVAN_CHANDRASHEKHAR_POMU,427131
YADATI_NAGANAND,427126
BADITA_AJAY_KUMAR,427132
SIREESHA_PANITHI,431347
KALRA_ANISHA,449973
ANIL_AMITH_G,429354
PATHRIKAR_ANIL,429344
CHATTERJEE_ARITRA,429348
NISHANTH_KATAM,430145
ANSH,428647
AJITH_S,430419
DHIMAN_JITENDRA_KUMAR,429864
BURRA_LAKSHMI_RAMYA_KRISHNA,429862
SITARAMGUPTA_VANGETI_V_S_N,429860
RAHAMAN_OBAIDUR,429851
HEGDE_ABHIJIT,429855
MACHIREDDY_AMRUTHA,429868
SINGH_JAGRITI,430427
VIJAIKUMAR_M,430425
VASHISHTH_PRABHAT,430420
SUKHADEO_CHAVAN_DHANAJI,429873
NAIR_ABHISHEK_RAMDAS,429877
GAYATHRI_H,429878
KAUR_NAVJOT,430428
DEVARAJ_MANOJ_KUMAR_K,429847
WAZALWAR_RADHIKA,429852
MATHAI_JEENU,429861
RAVI_KUMAR_D,429870
NARAYANAPRASAD_KARTHIK_PERIYAPATTANA,429856
EDACHERY_VIMAL,429869
TONY_LIMA_AGNEL,427799
PANDEY_VIVEK,427797
TADDESSE_TAYE_MELAKU,425726
SHARMA_SHUBHAM,427795
SAHASRANAND_K_R,427793
RESHMA_V_R,425779
JACOB_GEORGIN,427791
SIVARAM_ADITYA,429832
BORUAH_BHANUPRIYA,429822
SUKHANI_SEEMA,431383
MUNIGANTI_HARIKIRAN,431366
YASODHARAN_SARATH_AMPADI,431352
ADDANKI_TIRUMALA_NIREEKSHIT,431381
GUPTA_ABHAY,429963
KESHAV_KIRTI,429206
OMKAR_RAMCHANDRA_HEGDE,426012
ARJUN_SOMNATH,429217
DSOUZA_PETER_VARUN,429216
PANDIT_BHARDWAJ,429203
PRIYAMVADA_INDLA_RAJITHA_SAI,426066
SARKAR_BIDUSHI,430024
RAM_PRABHAKAR_KATHIRVEL,430017
SINGH_KAUMUDI,430033
SINGH_VIKRANT_KUMAR,426166
KAR_GURUDAS,426195
KURUVA_HEMANJANEYULU,430040
KUCHANA_VINAYENDER,427133
SASI_SHANUJA,427124
MOHANTA_ZINIA,428802
PANDA_ASISH_KUMAR,428806
MADHAVAN_R,427141
MUKHERJEE_MADHUBANTI,429703
SHANKAR_GYAN,428833
SEN_GUPTA_SAYAN,428815
SINGH_SHOBHIT_PRATAP,428831
SANAGAVARAPU_PHANI_KANTH_V_S_S_R_K,428810
KIRAN_ARAMANDA_SHANMUKHA,428853
KHANNA_SUMEET_RAJESH,428847
MISHRA_ANUPAM,428845
SINGH_DEEPENDRA_KUMAR,429742
ARCHANA_K,429762
KUMAWAT_KISHAN_LAL,576534
GUPTA_PRADEEP,428960
GUPTA_SHUBHAM,428963
SONI_ANKIT,428971
SASIDHARAN_SAYUJ,428985
MUKHERJEE_BULBUL,428980
GUPTA_GARIMA,428988
SATHISHKUMAR_N,429813
SANJEEV_SHINDE_NINAD,434398
NADKARNI_PRIYA_J,434385
DIVYA_MITTA,434438
PAUNIKAR_SHWETA,434006
KRANTHI_NAGOTHU_KARMEL,433970
SHARMA_PRADYUMN,433984
MUTNURI_VENKATA_SATYANAND,433998
ALIYU_AHMED,433981
HARISH_KUMAR_J_R,433996
RAY_CHOWDHURY_SAYAK,433990
NEHRU_DEVABHARATHI,434557
KUMAR_KUNDAN,434569
VALENS_HISHAMUNDA,434566
SADA_KRISHNAKANTH,431341
CHANDRAHAS,440459
GODBOLE_MAYUR_G,440764
MAHALINGAM_VIGNESH,440763
VAISHAKH_K_V,429710
HARIPRASAD_M,457881
PAL_RUPAM,507501
SAGAR_K,483415
GHOSHAL_SUPROVAT,433713
KUMAR_SARVESH,433715
CHANDRAN_DEEPU,433725
JEEVITHASHREE_D_V,431394
HOSSAIN_MD_NURTAJ,433704
VINAY_KUMAR_B_R,433718
RANJITH_KUMAR_P,433730
SINHA_PIYUSH,431630
GEORGE_SWETA_MARIAM,455544
GOEL_PRIYA,455547
KUMAR_PRANEETH_V,455545
BISEN_OMESHWARI_YADORAO,454896
HARITHA_K,454886
GUPTA_DEVYANI,454922
PANWAR_ASHISH,454921
THOOTA_SAI_SUBRAMANYAM,455161
ARUNKUMAR_K_P,455158
KUMAR_ARUN,444746
DIDDIGI_RAGHURAM_BHARADWAJ,444735
GOVINDAN_SRINIVASAN,455232
DRAVID_AMEYA_ATUL,455225
MAITI_SUBHASISH,455235
SHARMA_DEVANSH,455226
ROY_SUPRATEEK,455207
NAZEEH_K_M,455195
PAL_SOURADEEP,455123
DEKA_JAYANTA_KUMAR,455127
KAAMINI_M_D,455130
