Department_ID,Thesis_ID
CIVIL_ENGINEERING,426708
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,426724
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,426725
ENERGY_RESEARCH,426730
CIVIL_ENGINEERING,426727
CHEMICAL_ENGINEERING,428397
MATERIALS_ENGINEERING,426711
ELECTRICAL_ENGINEERING,426713
CIVIL_ENGINEERING,428396
NANO_SCIENCE_AND_ENGINEERING,449993
COMPUTER_SCIENCE_AND_AUTOMATION,449995
MATERIALS_ENGINEERING,426440
MECHANICAL_ENGINEERING,426449
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,426417
ELECTRONIC_SYSTEMS_ENGINEERING,426415
AEROSPACE_ENGINEERING,426441
COMPUTER_SCIENCE_AND_AUTOMATION,426460
NANO_SCIENCE_AND_ENGINEERING,428653
MATERIALS_ENGINEERING,428654
CHEMICAL_ENGINEERING,427758
NANO_SCIENCE_AND_ENGINEERING,425652
MATERIALS_ENGINEERING,427772
MATERIALS_ENGINEERING,427782
COMPUTER_SCIENCE_AND_AUTOMATION,427783
MATERIALS_ENGINEERING,427773
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,429867
COMPUTER_SCIENCE_AND_AUTOMATION,425793
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,427805
NANO_SCIENCE_AND_ENGINEERING,429955
PRODUCT_DESIGN_AND_MANUFACTURING,425747
SUPERCOMPUTING,425739
DATA_SCIENCE,427789
AEROSPACE_ENGINEERING,427784
CHEMICAL_ENGINEERING,429183
ELECTRICAL_ENGINEERING,429188
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,425827
MECHANICAL_ENGINEERING,425986
ENERGY_RESEARCH,425991
MATERIALS_ENGINEERING,426022
ENERGY_RESEARCH,429209
MATERIALS_ENGINEERING,426026
AEROSPACE_ENGINEERING,426128
AEROSPACE_ENGINEERING,426125
ELECTRICAL_ENGINEERING,426105
MECHANICAL_ENGINEERING,426110
NANO_SCIENCE_AND_ENGINEERING,426126
NANO_SCIENCE_AND_ENGINEERING,426060
NANO_SCIENCE_AND_ENGINEERING,426132
CHEMICAL_ENGINEERING,426186
COMPUTER_SCIENCE_AND_AUTOMATION,426127
EARTH_SCIENCES,430031
MECHANICAL_ENGINEERING,426129
NANO_SCIENCE_AND_ENGINEERING,426163
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,430039
PHYSICS,426220
CIVIL_ENGINEERING,430037
AEROSPACE_ENGINEERING,426197
MATERIALS_ENGINEERING,426218
COMPUTER_SCIENCE_AND_AUTOMATION,428803
CIVIL_ENGINEERING,428805
MANAGEMENT_STUDIES,428811
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,428832
ELECTRONIC_SYSTEMS_ENGINEERING,428851
CHEMICAL_ENGINEERING,447379
AEROSPACE_ENGINEERING,429739
MATERIALS_ENGINEERING,428981
CIVIL_ENGINEERING,434430
NANO_SCIENCE_AND_ENGINEERING,434422
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,434432
PRODUCT_DESIGN_AND_MANUFACTURING,434427
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,434421
NANO_SCIENCE_AND_ENGINEERING,434417
MATERIALS_ENGINEERING,434441
ELECTRICAL_ENGINEERING,433997
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,434000
MATERIALS_ENGINEERING,434565
MATERIALS_ENGINEERING,428840
ELECTRICAL_ENGINEERING,426363
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,426356
MATERIALS_ENGINEERING,426319
MECHANICAL_ENGINEERING,426320
DATA_SCIENCE,433696
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,426402
NANO_SCIENCE_AND_ENGINEERING,426384
ELECTRICAL_ENGINEERING,429332
