Person_ID,Patent_ID
DR_NEETIKA_SINGH,PAT_00042
PILLAI_GAYATHRI,PAT_00043
CHIRANACKAL_LINET_THOMAS,PAT_00043
PRAVEEN_KUMAR,PAT_00043
BISWAS_SRIJEETA,PAT_00044
GUPTA_TAPAJYOTI_DAS,PAT_00044
SAHU_RENU_RAMAN,PAT_00044
SHINKRE_OMKAR_DEOKINANDAN_NAYAK,PAT_00044
RAMNISHANTH,PAT_00044
ABHRA_ROY_CHOWDHURY,PAT_00045
SAURABH_KALRA,PAT_00045
AKHILESH_ANANT_GONABAL,PAT_00045
AMARESH_CHAKRABARTI,PAT_00046
ABHIJIT_BISWAS,PAT_00046
SHUBHAM_SHRESHTH,PAT_00046
JASWANTH_BUDDHA,PAT_00046
HARDIK_JEETENDRA_PANDYA,PAT_00047
NITU_BHASKAR,PAT_00047
RASHMI_HULIMANE_SHIVASWAMY,PAT_00047
ALOYSIOUS_BENOY,PAT_00047
KAUSHIK_LAKSHMIRAMANAN,PAT_00047
PRANAV_BINULAL,PAT_00047
PRADYUMNA_JAYAHANUMAIAH,PAT_00047
SREEJA_BALAKRISHNAPILLAI_SUSEELA,PAT_00047
GOWTHAMI_ANBAZHAGAN,PAT_00047
ROY_YAGNASENI,PAT_00048
SURESH_SHRIHARI_M,PAT_00048
GUNAGA_MANASA_P,PAT_00048
BOSE_SURYASARATHI,PAT_00048
DE_MRINMOY,PAT_00049
GHOSH_RITA,PAT_00049
BEHERA_PRADIPTA,PAT_00049
MUKHERJEE_SANTANU,PAT_00050
RAY_SAYAN,PAT_00050
RUPESH_PAWAR,PAT_00051
SUPRIYA_SURESH_SHINDE,PAT_00051
JAGDISH_CHINNAPPA,PAT_00051
VENUGOPAL_SANTHANAM,PAT_00051
BHUSHAN_TOLEY,PAT_00051
RAMSHARAN_RANGARAJAN,PAT_00052
SUMAN_DUTTA,PAT_00052
VIMAL_KUMAR_S,PAT_00053
DR_BDS_DHEERAJ,PAT_00053
SIDDHESH_REGE,PAT_00053
INDRANIL_DEY,PAT_00053
RAM_PRASANTH_S,PAT_00053
DR_KETAKI_SAMANTA,PAT_00053
DR_ASHOK_MISRA,PAT_00053
DR_SURYASARATHI_BOSE,PAT_00053
SIDDHESH_SADASHIV_REGE,PAT_00054
VIMAL_KUMAR_S,PAT_00054
INDRANIL_DEY,PAT_00054
KETAKI_SAMANTA,PAT_00054
NEETIKA_SINGH,PAT_00054
ASHOK_MISRA,PAT_00054
SURYASARATHI_BOSE,PAT_00054
ANUJ_KUMAR_PALARIYA,PAT_00055
DIPANJAN_GIRI,PAT_00055
SATISH_PATIL,PAT_00055
AMIT_BANSAL,PAT_00056
ANIRUDDHAN_GOWRISANKAR,PAT_00056
RIJO_BABY,PAT_00056
HAREESH_CHANDRASEKAR,PAT_00056
SRINIVASAN_RAGHAVAN,PAT_00056
RANGARAJAN_MURALIDHARAN,PAT_00056
