technology,publication_score,patent_score,grant_score,thesis_score,overall_score
Cybersecurity,798.7519705131876,0.0,0.0,0.0,319.50078820527506
Quantum Technologies,74.86489814463043,0.0,-244.35724035161115,0.0,-18.925488812470057
Semiconductors,-13.137149391072574,90.93965399315964,0.0,-410.0781369560772,-18.980777254088864
Other,0.49866963367384914,-39.64287640666503,-137.01157900208372,-221.6359846086324,-61.25930932980995
Energy Technologies,-31.566744581539538,-121.48577513630612,0.0,-335.4459742279292,-82.61702779630056
Internet of Things,-106.25931459096924,0.0,-351.3890374352671,-197.75021196025975,-132.5565545194671
Artificial Intelligence,-37.68450890794955,-169.73744470036118,-297.97373722182715,-244.75552930265363,-150.06533734791896
