institution,domain_name,publications,patents,grants,theses,total
M S Ramaiah Institute of Technology,Wireless Communications and IoT,23.0,31.0,0.0,8.0,62.0
M S Ramaiah Institute of Technology,Agriculture and Environmental Systems,24.0,28.0,2.0,1.0,55.0
M S Ramaiah Institute of Technology,Speech and Language Technologies,5.0,47.0,0.0,1.0,53.0
M S Ramaiah Institute of Technology,Healthcare and Biomedical Engineering,16.0,32.0,2.0,1.0,51.0
M S Ramaiah Institute of Technology,Photonics and Quantum Materials,15.0,32.0,2.0,0.0,49.0
M S Ramaiah Institute of Technology,Smart Energy Systems,2.0,43.0,0.0,1.0,46.0
M S Ramaiah Institute of Technology,Bioinformatics and Life Sciences,14.0,28.0,0.0,0.0,42.0
M S Ramaiah Institute of Technology,Cybersecurity and Blockchain,25.0,16.0,0.0,0.0,41.0
M S Ramaiah Institute of Technology,Data Science and Knowledge Discovery,23.0,17.0,0.0,1.0,41.0
M S Ramaiah Institute of Technology,Advanced Materials and Nanotechnology,15.0,13.0,0.0,2.0,30.0
M S Ramaiah Institute of Technology,Advanced Manufacturing and Metallurgy,1.0,28.0,0.0,0.0,29.0
M S Ramaiah Institute of Technology,Social Computing and Security Analytics,16.0,7.0,0.0,0.0,23.0
M S Ramaiah Institute of Technology,Construction and Infrastructure Materials,2.0,19.0,0.0,1.0,22.0
M S Ramaiah Institute of Technology,Artificial Intelligence and Computer Vision,19.0,0.0,0.0,0.0,19.0
M S Ramaiah Institute of Technology,Mechanical Systems and Control Engineering,13.0,6.0,0.0,0.0,19.0
M S Ramaiah Institute of Technology,Computer Systems and Algorithms,5.0,8.0,0.0,1.0,14.0
M S Ramaiah Institute of Technology,Energy Storage and Renewable Energy,2.0,8.0,0.0,2.0,12.0
M S Ramaiah Institute of Technology,Physics and Theoretical Sciences,0.0,2.0,0.0,1.0,3.0
PES University,Robotics and Autonomous Systems,243.0,18.0,0.0,4.0,265.0
PES University,Cybersecurity and Blockchain,256.0,5.0,0.0,2.0,263.0
PES University,Wireless Communications and IoT,212.0,21.0,0.0,3.0,236.0
PES University,Artificial Intelligence and Computer Vision,215.0,15.0,0.0,0.0,230.0
PES University,Data Science and Knowledge Discovery,155.0,13.0,0.0,1.0,169.0
PES University,Computer Systems and Algorithms,141.0,6.0,0.0,2.0,149.0
PES University,Energy Storage and Renewable Energy,120.0,21.0,0.0,3.0,144.0
PES University,Smart Energy Systems,137.0,1.0,0.0,6.0,144.0
PES University,Intelligent Transportation Systems,124.0,11.0,0.0,0.0,135.0
PES University,Semiconductors and Nanoelectronics,117.0,11.0,0.0,6.0,134.0
PES University,Mechanical Systems and Control Engineering,129.0,0.0,0.0,0.0,129.0
PES University,Speech and Language Technologies,113.0,4.0,0.0,7.0,124.0
PES University,Biomaterials and Tissue Engineering,104.0,15.0,0.0,3.0,122.0
PES University,Advanced Materials and Nanotechnology,108.0,4.0,0.0,1.0,113.0
PES University,Healthcare and Biomedical Engineering,88.0,19.0,0.0,2.0,109.0
PES University,Social Computing and Security Analytics,102.0,0.0,0.0,0.0,102.0
PES University,Aerospace and Fluid Dynamics,70.0,5.0,0.0,7.0,82.0
PES University,Advanced Manufacturing and Metallurgy,74.0,4.0,0.0,0.0,78.0
PES University,Applied Mathematics and Simulation,78.0,0.0,0.0,0.0,78.0
PES University,Agriculture and Environmental Systems,51.0,19.0,0.0,4.0,74.0
PES University,Bioinformatics and Life Sciences,65.0,8.0,0.0,0.0,73.0
PES University,Photonics and Quantum Materials,53.0,8.0,0.0,1.0,62.0
PES University,Construction and Infrastructure Materials,45.0,13.0,0.0,3.0,61.0
PES University,Physics and Theoretical Sciences,28.0,1.0,0.0,0.0,29.0
PES University,Smart Cities and Sustainability,9.0,0.0,0.0,0.0,9.0
R V College of Engineering,Wireless Communications and IoT,109.0,11.0,0.0,45.0,165.0
R V College of Engineering,Robotics and Autonomous Systems,84.0,10.0,39.0,13.0,146.0
R V College of Engineering,Healthcare and Biomedical Engineering,71.0,6.0,0.0,48.0,125.0
R V College of Engineering,Biomaterials and Tissue Engineering,37.0,9.0,39.0,23.0,108.0
R V College of Engineering,Semiconductors and Nanoelectronics,45.0,8.0,39.0,16.0,108.0
R V College of Engineering,Data Science and Knowledge Discovery,85.0,3.0,0.0,14.0,102.0
R V College of Engineering,Aerospace and Fluid Dynamics,49.0,10.0,0.0,40.0,99.0
R V College of Engineering,Intelligent Transportation Systems,46.0,6.0,39.0,7.0,98.0
R V College of Engineering,Smart Energy Systems,72.0,1.0,0.0,20.0,93.0
R V College of Engineering,Cybersecurity and Blockchain,81.0,1.0,0.0,4.0,86.0
R V College of Engineering,Advanced Materials and Nanotechnology,65.0,5.0,0.0,11.0,81.0
R V College of Engineering,Energy Storage and Renewable Energy,47.0,6.0,0.0,27.0,80.0
R V College of Engineering,Agriculture and Environmental Systems,33.0,12.0,0.0,34.0,79.0
R V College of Engineering,Computer Systems and Algorithms,61.0,3.0,0.0,12.0,76.0
R V College of Engineering,Advanced Manufacturing and Metallurgy,32.0,5.0,0.0,31.0,68.0
R V College of Engineering,Bioinformatics and Life Sciences,34.0,3.0,0.0,19.0,56.0
R V College of Engineering,Mechanical Systems and Control Engineering,48.0,0.0,0.0,8.0,56.0
R V College of Engineering,Construction and Infrastructure Materials,41.0,4.0,0.0,10.0,55.0
R V College of Engineering,Artificial Intelligence and Computer Vision,38.0,1.0,0.0,0.0,39.0
R V College of Engineering,Photonics and Quantum Materials,25.0,4.0,0.0,9.0,38.0
R V College of Engineering,Social Computing and Security Analytics,33.0,0.0,0.0,0.0,33.0
R V College of Engineering,Speech and Language Technologies,16.0,3.0,0.0,12.0,31.0
R V College of Engineering,Physics and Theoretical Sciences,16.0,0.0,0.0,3.0,19.0
R V College of Engineering,Smart Cities and Sustainability,19.0,0.0,0.0,0.0,19.0
R V College of Engineering,Applied Mathematics and Simulation,13.0,2.0,0.0,0.0,15.0
